attempt_id,source_attempt_id,run_id,bundle_id,cell_id,period_role,direction_policy,from_date,to_date,status,result_judgment,source_score_telemetry_observed,execution_telemetry_observed,execution_row_count,open_action_count,close_action_count,open_failed_count,tester_report_observed,runtime_probe_complete,tester_log_observed,tester_final_balance,terminal_mode,terminal_exit_code,terminal_timed_out,terminal_run_summary_path,execution_telemetry_summary_path,tester_log_summary_path,repo_execution_telemetry_path,tester_report_path,claim_boundary,next_action
attempt_wave01_eb_cell_002_l4_decision_replay_validation_score_band_side_v0,attempt_wave01_eb_cell_002_l4_validation_v0,onnxlab_wave01_eb_cell_002_event_barrier_surface_v0,bundle_wave01_eb_cell_002_l4_onnx_export_v0,wave01_eb_cell_002,validation,score_band_side,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,True,53554,4508,4478,10,True,True,True,375.39,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_eb_cell_002_l4_decision_replay_validation_score_band_side_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_002_l4_decision_replay_validation_score_band_side_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_002_l4_decision_replay_validation_score_band_side_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_002_l4_decision_replay_validation_score_band_side_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave01_eb_cell_002_l4_decision_replay_validation_score_band_side_v0/reports/tester_report.htm,wave01_event_barrier_score_band_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,parse tester report and judge sparse decision surface with lowered claim boundary
attempt_wave01_eb_cell_002_l4_decision_replay_research_oos_score_band_side_v0,attempt_wave01_eb_cell_002_l4_research_oos_v0,onnxlab_wave01_eb_cell_002_event_barrier_surface_v0,bundle_wave01_eb_cell_002_l4_onnx_export_v0,wave01_eb_cell_002,research_oos,score_band_side,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,True,45281,3819,3790,2,True,True,True,424.62,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_eb_cell_002_l4_decision_replay_research_oos_score_band_side_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_002_l4_decision_replay_research_oos_score_band_side_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_002_l4_decision_replay_research_oos_score_band_side_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_002_l4_decision_replay_research_oos_score_band_side_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave01_eb_cell_002_l4_decision_replay_research_oos_score_band_side_v0/reports/tester_report.htm,wave01_event_barrier_score_band_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,parse tester report and judge sparse decision surface with lowered claim boundary
attempt_wave01_eb_cell_006_l4_decision_replay_validation_score_band_side_v0,attempt_wave01_eb_cell_006_l4_validation_v0,onnxlab_wave01_eb_cell_006_event_barrier_surface_v0,bundle_wave01_eb_cell_006_l4_onnx_export_v0,wave01_eb_cell_006,validation,score_band_side,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,True,53554,3744,3737,11,True,True,True,412.87,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_eb_cell_006_l4_decision_replay_validation_score_band_side_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_006_l4_decision_replay_validation_score_band_side_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_006_l4_decision_replay_validation_score_band_side_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_006_l4_decision_replay_validation_score_band_side_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave01_eb_cell_006_l4_decision_replay_validation_score_band_side_v0/reports/tester_report.htm,wave01_event_barrier_score_band_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,parse tester report and judge sparse decision surface with lowered claim boundary
attempt_wave01_eb_cell_006_l4_decision_replay_research_oos_score_band_side_v0,attempt_wave01_eb_cell_006_l4_research_oos_v0,onnxlab_wave01_eb_cell_006_event_barrier_surface_v0,bundle_wave01_eb_cell_006_l4_onnx_export_v0,wave01_eb_cell_006,research_oos,score_band_side,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,True,45281,3266,3260,2,True,True,True,390.47,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_eb_cell_006_l4_decision_replay_research_oos_score_band_side_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_006_l4_decision_replay_research_oos_score_band_side_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_006_l4_decision_replay_research_oos_score_band_side_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_006_l4_decision_replay_research_oos_score_band_side_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave01_eb_cell_006_l4_decision_replay_research_oos_score_band_side_v0/reports/tester_report.htm,wave01_event_barrier_score_band_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,parse tester report and judge sparse decision surface with lowered claim boundary
attempt_wave01_eb_cell_007_l4_decision_replay_validation_score_band_side_v0,attempt_wave01_eb_cell_007_l4_validation_v0,onnxlab_wave01_eb_cell_007_event_barrier_surface_v0,bundle_wave01_eb_cell_007_l4_onnx_export_v0,wave01_eb_cell_007,validation,score_band_side,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,True,53554,9187,9189,42,True,True,True,255.44,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_eb_cell_007_l4_decision_replay_validation_score_band_side_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_007_l4_decision_replay_validation_score_band_side_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_007_l4_decision_replay_validation_score_band_side_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_007_l4_decision_replay_validation_score_band_side_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave01_eb_cell_007_l4_decision_replay_validation_score_band_side_v0/reports/tester_report.htm,wave01_event_barrier_score_band_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,parse tester report and judge sparse decision surface with lowered claim boundary
attempt_wave01_eb_cell_007_l4_decision_replay_research_oos_score_band_side_v0,attempt_wave01_eb_cell_007_l4_research_oos_v0,onnxlab_wave01_eb_cell_007_event_barrier_surface_v0,bundle_wave01_eb_cell_007_l4_onnx_export_v0,wave01_eb_cell_007,research_oos,score_band_side,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,True,45281,7958,7936,17,True,True,True,257.52,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_eb_cell_007_l4_decision_replay_research_oos_score_band_side_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_007_l4_decision_replay_research_oos_score_band_side_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_007_l4_decision_replay_research_oos_score_band_side_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_007_l4_decision_replay_research_oos_score_band_side_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave01_eb_cell_007_l4_decision_replay_research_oos_score_band_side_v0/reports/tester_report.htm,wave01_event_barrier_score_band_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,parse tester report and judge sparse decision surface with lowered claim boundary
attempt_wave01_eb_cell_008_l4_decision_replay_validation_score_band_side_v0,attempt_wave01_eb_cell_008_l4_validation_v0,onnxlab_wave01_eb_cell_008_event_barrier_surface_v0,bundle_wave01_eb_cell_008_l4_onnx_export_v0,wave01_eb_cell_008,validation,score_band_side,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,True,53554,3315,3337,11,True,True,True,405.89,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_eb_cell_008_l4_decision_replay_validation_score_band_side_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_008_l4_decision_replay_validation_score_band_side_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_008_l4_decision_replay_validation_score_band_side_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_008_l4_decision_replay_validation_score_band_side_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave01_eb_cell_008_l4_decision_replay_validation_score_band_side_v0/reports/tester_report.htm,wave01_event_barrier_score_band_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,parse tester report and judge sparse decision surface with lowered claim boundary
attempt_wave01_eb_cell_008_l4_decision_replay_research_oos_score_band_side_v0,attempt_wave01_eb_cell_008_l4_research_oos_v0,onnxlab_wave01_eb_cell_008_event_barrier_surface_v0,bundle_wave01_eb_cell_008_l4_onnx_export_v0,wave01_eb_cell_008,research_oos,score_band_side,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,True,45281,2785,2822,3,True,True,True,417.34,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_eb_cell_008_l4_decision_replay_research_oos_score_band_side_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_008_l4_decision_replay_research_oos_score_band_side_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_008_l4_decision_replay_research_oos_score_band_side_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_008_l4_decision_replay_research_oos_score_band_side_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave01_eb_cell_008_l4_decision_replay_research_oos_score_band_side_v0/reports/tester_report.htm,wave01_event_barrier_score_band_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,parse tester report and judge sparse decision surface with lowered claim boundary
attempt_wave01_eb_cell_011_l4_decision_replay_validation_score_band_side_v0,attempt_wave01_eb_cell_011_l4_validation_v0,onnxlab_wave01_eb_cell_011_event_barrier_surface_v0,bundle_wave01_eb_cell_011_l4_onnx_export_v0,wave01_eb_cell_011,validation,score_band_side,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,True,53554,5324,5320,52,True,True,True,276.63,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_eb_cell_011_l4_decision_replay_validation_score_band_side_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_011_l4_decision_replay_validation_score_band_side_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_011_l4_decision_replay_validation_score_band_side_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_011_l4_decision_replay_validation_score_band_side_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave01_eb_cell_011_l4_decision_replay_validation_score_band_side_v0/reports/tester_report.htm,wave01_event_barrier_score_band_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,parse tester report and judge sparse decision surface with lowered claim boundary
attempt_wave01_eb_cell_011_l4_decision_replay_research_oos_score_band_side_v0,attempt_wave01_eb_cell_011_l4_research_oos_v0,onnxlab_wave01_eb_cell_011_event_barrier_surface_v0,bundle_wave01_eb_cell_011_l4_onnx_export_v0,wave01_eb_cell_011,research_oos,score_band_side,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,True,45281,4533,4478,24,True,True,True,402.45,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_eb_cell_011_l4_decision_replay_research_oos_score_band_side_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_011_l4_decision_replay_research_oos_score_band_side_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_011_l4_decision_replay_research_oos_score_band_side_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_011_l4_decision_replay_research_oos_score_band_side_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave01_eb_cell_011_l4_decision_replay_research_oos_score_band_side_v0/reports/tester_report.htm,wave01_event_barrier_score_band_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,parse tester report and judge sparse decision surface with lowered claim boundary
