attempt_id,source_attempt_id,run_id,bundle_id,cell_id,period_role,direction_policy,hold_bars,from_date,to_date,status,attempt_manifest_path,tester_config_path,source_score_telemetry_common_path,execution_telemetry_common_path,decision_family,decision_execution_kind,score_low_threshold,score_high_threshold,runtime_period_set_id,tester_execution_profile_id,claim_boundary
attempt_wave01_eb_cell_002_l4_decision_replay_validation_score_band_side_v0,attempt_wave01_eb_cell_002_l4_validation_v0,onnxlab_wave01_eb_cell_002_event_barrier_surface_v0,bundle_wave01_eb_cell_002_l4_onnx_export_v0,wave01_eb_cell_002,validation,score_band_side,12,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave01_eb_cell_002_l4_decision_replay_validation_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_002_l4_decision_replay_validation_score_band_side_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave01_eb_cell_002_l4_validation_v0\score_telemetry.csv,SpaceSonar\wave01_event_barrier_l4_decision_replay\attempt_wave01_eb_cell_002_l4_decision_replay_validation_score_band_side_v0\execution_telemetry.csv,breakout_entry_abstain_timeout_exit,score_band_directional,0.4854020509408197,0.6788391588269759,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,score_replay_decision_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate
attempt_wave01_eb_cell_002_l4_decision_replay_research_oos_score_band_side_v0,attempt_wave01_eb_cell_002_l4_research_oos_v0,onnxlab_wave01_eb_cell_002_event_barrier_surface_v0,bundle_wave01_eb_cell_002_l4_onnx_export_v0,wave01_eb_cell_002,research_oos,score_band_side,12,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave01_eb_cell_002_l4_decision_replay_research_oos_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_002_l4_decision_replay_research_oos_score_band_side_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave01_eb_cell_002_l4_research_oos_v0\score_telemetry.csv,SpaceSonar\wave01_event_barrier_l4_decision_replay\attempt_wave01_eb_cell_002_l4_decision_replay_research_oos_score_band_side_v0\execution_telemetry.csv,breakout_entry_abstain_timeout_exit,score_band_directional,0.4854020509408197,0.6788391588269759,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,score_replay_decision_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate
attempt_wave01_eb_cell_006_l4_decision_replay_validation_score_band_side_v0,attempt_wave01_eb_cell_006_l4_validation_v0,onnxlab_wave01_eb_cell_006_event_barrier_surface_v0,bundle_wave01_eb_cell_006_l4_onnx_export_v0,wave01_eb_cell_006,validation,score_band_side,24,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave01_eb_cell_006_l4_decision_replay_validation_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_006_l4_decision_replay_validation_score_band_side_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave01_eb_cell_006_l4_validation_v0\score_telemetry.csv,SpaceSonar\wave01_event_barrier_l4_decision_replay\attempt_wave01_eb_cell_006_l4_decision_replay_validation_score_band_side_v0\execution_telemetry.csv,sparse_event_abstain_barrier_exit,score_band_directional,0.810982683843714,0.9802038056379959,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,score_replay_decision_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate
attempt_wave01_eb_cell_006_l4_decision_replay_research_oos_score_band_side_v0,attempt_wave01_eb_cell_006_l4_research_oos_v0,onnxlab_wave01_eb_cell_006_event_barrier_surface_v0,bundle_wave01_eb_cell_006_l4_onnx_export_v0,wave01_eb_cell_006,research_oos,score_band_side,24,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave01_eb_cell_006_l4_decision_replay_research_oos_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_006_l4_decision_replay_research_oos_score_band_side_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave01_eb_cell_006_l4_research_oos_v0\score_telemetry.csv,SpaceSonar\wave01_event_barrier_l4_decision_replay\attempt_wave01_eb_cell_006_l4_decision_replay_research_oos_score_band_side_v0\execution_telemetry.csv,sparse_event_abstain_barrier_exit,score_band_directional,0.810982683843714,0.9802038056379959,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,score_replay_decision_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate
attempt_wave01_eb_cell_007_l4_decision_replay_validation_score_band_side_v0,attempt_wave01_eb_cell_007_l4_validation_v0,onnxlab_wave01_eb_cell_007_event_barrier_surface_v0,bundle_wave01_eb_cell_007_l4_onnx_export_v0,wave01_eb_cell_007,validation,score_band_side,3,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave01_eb_cell_007_l4_decision_replay_validation_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_007_l4_decision_replay_validation_score_band_side_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave01_eb_cell_007_l4_validation_v0\score_telemetry.csv,SpaceSonar\wave01_event_barrier_l4_decision_replay\attempt_wave01_eb_cell_007_l4_decision_replay_validation_score_band_side_v0\execution_telemetry.csv,fast_event_abstain_timeout_exit,score_band_directional,0.774300467967987,1.145575761795044,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,score_replay_decision_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate
attempt_wave01_eb_cell_007_l4_decision_replay_research_oos_score_band_side_v0,attempt_wave01_eb_cell_007_l4_research_oos_v0,onnxlab_wave01_eb_cell_007_event_barrier_surface_v0,bundle_wave01_eb_cell_007_l4_onnx_export_v0,wave01_eb_cell_007,research_oos,score_band_side,3,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave01_eb_cell_007_l4_decision_replay_research_oos_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_007_l4_decision_replay_research_oos_score_band_side_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave01_eb_cell_007_l4_research_oos_v0\score_telemetry.csv,SpaceSonar\wave01_event_barrier_l4_decision_replay\attempt_wave01_eb_cell_007_l4_decision_replay_research_oos_score_band_side_v0\execution_telemetry.csv,fast_event_abstain_timeout_exit,score_band_directional,0.774300467967987,1.145575761795044,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,score_replay_decision_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate
attempt_wave01_eb_cell_008_l4_decision_replay_validation_score_band_side_v0,attempt_wave01_eb_cell_008_l4_validation_v0,onnxlab_wave01_eb_cell_008_event_barrier_surface_v0,bundle_wave01_eb_cell_008_l4_onnx_export_v0,wave01_eb_cell_008,validation,score_band_side,12,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave01_eb_cell_008_l4_decision_replay_validation_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_008_l4_decision_replay_validation_score_band_side_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave01_eb_cell_008_l4_validation_v0\score_telemetry.csv,SpaceSonar\wave01_event_barrier_l4_decision_replay\attempt_wave01_eb_cell_008_l4_decision_replay_validation_score_band_side_v0\execution_telemetry.csv,session_gated_abstain_barrier_exit,score_band_directional,0.43492664808998666,0.9614335563908808,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,score_replay_decision_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate
attempt_wave01_eb_cell_008_l4_decision_replay_research_oos_score_band_side_v0,attempt_wave01_eb_cell_008_l4_research_oos_v0,onnxlab_wave01_eb_cell_008_event_barrier_surface_v0,bundle_wave01_eb_cell_008_l4_onnx_export_v0,wave01_eb_cell_008,research_oos,score_band_side,12,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave01_eb_cell_008_l4_decision_replay_research_oos_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_008_l4_decision_replay_research_oos_score_band_side_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave01_eb_cell_008_l4_research_oos_v0\score_telemetry.csv,SpaceSonar\wave01_event_barrier_l4_decision_replay\attempt_wave01_eb_cell_008_l4_decision_replay_research_oos_score_band_side_v0\execution_telemetry.csv,session_gated_abstain_barrier_exit,score_band_directional,0.43492664808998666,0.9614335563908808,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,score_replay_decision_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate
attempt_wave01_eb_cell_011_l4_decision_replay_validation_score_band_side_v0,attempt_wave01_eb_cell_011_l4_validation_v0,onnxlab_wave01_eb_cell_011_event_barrier_surface_v0,bundle_wave01_eb_cell_011_l4_onnx_export_v0,wave01_eb_cell_011,validation,score_band_side,6,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave01_eb_cell_011_l4_decision_replay_validation_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_011_l4_decision_replay_validation_score_band_side_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave01_eb_cell_011_l4_validation_v0\score_telemetry.csv,SpaceSonar\wave01_event_barrier_l4_decision_replay\attempt_wave01_eb_cell_011_l4_decision_replay_validation_score_band_side_v0\execution_telemetry.csv,range_edge_abstain_timeout_exit,score_band_directional,0.8970731496810913,0.9928132653236389,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,score_replay_decision_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate
attempt_wave01_eb_cell_011_l4_decision_replay_research_oos_score_band_side_v0,attempt_wave01_eb_cell_011_l4_research_oos_v0,onnxlab_wave01_eb_cell_011_event_barrier_surface_v0,bundle_wave01_eb_cell_011_l4_onnx_export_v0,wave01_eb_cell_011,research_oos,score_band_side,6,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave01_eb_cell_011_l4_decision_replay_research_oos_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave01_eb_cell_011_l4_decision_replay_research_oos_score_band_side_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave01_eb_cell_011_l4_research_oos_v0\score_telemetry.csv,SpaceSonar\wave01_event_barrier_l4_decision_replay\attempt_wave01_eb_cell_011_l4_decision_replay_research_oos_score_band_side_v0\execution_telemetry.csv,range_edge_abstain_timeout_exit,score_band_directional,0.8970731496810913,0.9928132653236389,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,score_replay_decision_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate
