cell_id,run_id,bundle_id,validation_attempt_id,research_oos_attempt_id,validation_telemetry_observed,research_oos_telemetry_observed,both_period_roles_observed,nonempty_telemetry_pair,tester_report_pair_observed,tester_report_pair_completed,runtime_probe_pair_complete,portable_contract_pair_complete,terminal_mode_pair,validation_row_count,research_oos_row_count,validation_score_mean,research_oos_score_mean,score_mean_delta_research_minus_validation,validation_directional_count,research_oos_directional_count,validation_directional_rate,research_oos_directional_rate,directional_rate_delta_research_minus_validation,validation_proxy_trade_count,research_oos_proxy_trade_count,validation_proxy_trade_density,research_oos_proxy_trade_density,validation_proxy_profit_factor,research_oos_proxy_profit_factor,proxy_profit_factor_delta_research_minus_validation,feature_recipe_id,label_recipe_id,decision_recipe_id,decision_family,holding_policy,runtime_translation_status,proxy_judgment,comparison_class,standard_l4_completion,result_judgment,l5_routing_status,claim_boundary,next_action
wave03_vst_cell_001,onnxlab_wave03_vst_cell_001_compression_reversal_h6_v0,bundle_wave03_vst_cell_001_l4_onnx_export_v0,attempt_wave03_vst_cell_001_l4_validation_portable_sensitive_identity_probe_v0,attempt_wave03_vst_cell_001_l4_research_oos_portable_sensitive_identity_probe_v0,true,true,true,true,true,true,true,true,portable_contract_attempt|portable_contract_attempt,53554,45281,0.5386935883901445,0.5375302032556172,-0.001163385134527295,32148,26958,0.6002912947678978,0.5953490426448179,-0.00494225212307986,9526,7746,0.3485547017929016,0.34335106382978725,1.0413017632167174,0.8439524750194111,-0.19734928819730635,feature_wave03_atr_compression_session_state_v0,label_wave03_compression_break_reversal_h6_v0,decision_wave03_reversal_abstain_timeout_h6_v0,volatility_state_reversal_continuation_score_probe,not_executed_score_telemetry_only,score_probe_preflight_direction_and_trade_execution_pending,inconclusive,proxy_inconclusive_portable_l4_runtime_score_observed,completed,runtime_probe,portable_l4_complete_proxy_inconclusive_no_l5_candidate,wave03_l4_pair_judgment_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,continue portable repair on stronger remaining pairs before any candidate-specific L5 manifest
wave03_vst_cell_002,onnxlab_wave03_vst_cell_002_compression_reversal_h8_v0,bundle_wave03_vst_cell_002_l4_onnx_export_v0,attempt_wave03_vst_cell_002_l4_validation_v0,attempt_wave03_vst_cell_002_l4_research_oos_v0,true,true,true,true,true,true,false,false,main_mode_config_fallback|main_mode_config_fallback,53554,45281,0.4231839213472925,0.42384709709359336,0.0006631757463008703,25211,21719,0.4707584867610263,0.4796493010313376,0.008890814270311354,10318,8744,0.37753384559092573,0.38762301622484263,0.9378200424774907,0.9023068125730143,-0.03551322990447647,feature_wave03_range_percentile_path_quality_v0,label_wave03_compression_break_reversal_h8_v0,decision_wave03_reversal_abstain_timeout_h8_v0,volatility_state_reversal_continuation_score_probe,not_executed_score_telemetry_only,score_probe_preflight_direction_and_trade_execution_pending,inconclusive,proxy_inconclusive_runtime_score_observed_but_portable_contract_missing,incomplete_main_mode_fallback_portable_contract_missing,runtime_probe,no_l5_until_portable_l4_contract,wave03_l4_pair_judgment_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,repair portable Strategy Tester contract and rerun/record L4 before any L5 routing
wave03_vst_cell_003,onnxlab_wave03_vst_cell_003_compression_continuation_h6_v0,bundle_wave03_vst_cell_003_l4_onnx_export_v0,attempt_wave03_vst_cell_003_l4_validation_v0,attempt_wave03_vst_cell_003_l4_research_oos_v0,true,true,true,true,true,true,false,false,main_mode_config_fallback|main_mode_config_fallback,53554,45281,0.406023932665588,0.4026396188426051,-0.0033843138229829317,21213,18139,0.39610486611644324,0.40058744285682735,0.004482576740384103,10218,8514,0.3738748627881449,0.3773936170212766,1.0071686840589122,0.8604841837006441,-0.1466845003582682,feature_wave03_realized_vol_regime_transition_v0,label_wave03_compression_release_continuation_h6_v0,decision_wave03_continuation_abstain_timeout_h6_v0,volatility_state_reversal_continuation_score_probe,not_executed_score_telemetry_only,score_probe_preflight_direction_and_trade_execution_pending,inconclusive,proxy_inconclusive_runtime_score_observed_but_portable_contract_missing,incomplete_main_mode_fallback_portable_contract_missing,runtime_probe,no_l5_until_portable_l4_contract,wave03_l4_pair_judgment_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,repair portable Strategy Tester contract and rerun/record L4 before any L5 routing
wave03_vst_cell_004,onnxlab_wave03_vst_cell_004_compression_continuation_h12_v0,bundle_wave03_vst_cell_004_l4_onnx_export_v0,attempt_wave03_vst_cell_004_l4_validation_v0,attempt_wave03_vst_cell_004_l4_research_oos_v0,true,true,true,true,true,true,false,false,main_mode_config_fallback|main_mode_config_fallback,53554,45281,0.5251101301025115,0.524719071489839,-0.0003910586126725235,26993,22028,0.504033312170893,0.48647335527042246,-0.01755995690047052,8418,6268,0.30802444289948405,0.277898470405675,0.9515236071528155,0.8535770951210226,-0.09794651203179283,feature_wave03_multiscale_compression_release_v0,label_wave03_compression_release_continuation_h12_v0,decision_wave03_continuation_abstain_timeout_h12_v0,volatility_state_reversal_continuation_score_probe,not_executed_score_telemetry_only,score_probe_preflight_direction_and_trade_execution_pending,inconclusive,proxy_inconclusive_runtime_score_observed_but_portable_contract_missing,incomplete_main_mode_fallback_portable_contract_missing,runtime_probe,no_l5_until_portable_l4_contract,wave03_l4_pair_judgment_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,repair portable Strategy Tester contract and rerun/record L4 before any L5 routing
wave03_vst_cell_005,onnxlab_wave03_vst_cell_005_expansion_exhaustion_reversal_h8_v0,bundle_wave03_vst_cell_005_l4_onnx_export_v0,attempt_wave03_vst_cell_005_l4_validation_v0,attempt_wave03_vst_cell_005_l4_research_oos_v0,true,true,true,true,true,true,false,false,main_mode_config_fallback|main_mode_config_fallback,53554,45281,0.42494535824145346,0.4272210053099467,0.0022756470684932584,25630,21965,0.4785823654628973,0.4850820432410945,0.00649967777819721,11192,10056,0.4046861440555395,0.4304978809024359,1.0055267834563593,0.9817148027736526,-0.023811980682706624,feature_wave03_session_open_expansion_state_v0,label_wave03_expansion_exhaustion_reversal_h8_v0,decision_wave03_reversal_abstain_timeout_h8_v0,volatility_state_reversal_continuation_score_probe,not_executed_score_telemetry_only,score_probe_preflight_direction_and_trade_execution_pending,preserved_clue,proxy_preserved_clue_runtime_score_observed_but_portable_contract_missing,incomplete_main_mode_fallback_portable_contract_missing,runtime_probe,no_l5_until_portable_l4_contract,wave03_l4_pair_judgment_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,repair portable Strategy Tester contract and rerun/record L4 before any L5 routing
wave03_vst_cell_006,onnxlab_wave03_vst_cell_006_expansion_exhaustion_reversal_h12_v0,bundle_wave03_vst_cell_006_l4_onnx_export_v0,attempt_wave03_vst_cell_006_l4_validation_v0,attempt_wave03_vst_cell_006_l4_research_oos_v0,true,true,true,true,true,true,false,false,main_mode_config_fallback|main_mode_config_fallback,53554,45281,0.43833426161267697,0.4393643570769219,0.001030095464244929,20921,18293,0.390652425589125,0.40398842781740685,0.013336002228281851,11329,10001,0.4096991176045132,0.4281433280534269,1.0125570417306156,1.0066802170315636,-0.00587682469905193,feature_wave03_drawdown_rebound_vol_state_v0,label_wave03_expansion_exhaustion_reversal_h12_v0,decision_wave03_vol_stop_timeout_h12_v0,volatility_state_reversal_continuation_score_probe,not_executed_score_telemetry_only,score_probe_preflight_direction_and_trade_execution_pending,preserved_clue,proxy_preserved_clue_runtime_score_observed_but_portable_contract_missing,incomplete_main_mode_fallback_portable_contract_missing,runtime_probe,no_l5_until_portable_l4_contract,wave03_l4_pair_judgment_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,repair portable Strategy Tester contract and rerun/record L4 before any L5 routing
wave03_vst_cell_007,onnxlab_wave03_vst_cell_007_expansion_followthrough_h6_v0,bundle_wave03_vst_cell_007_l4_onnx_export_v0,attempt_wave03_vst_cell_007_l4_validation_v0,attempt_wave03_vst_cell_007_l4_research_oos_v0,true,true,true,true,true,true,false,false,main_mode_config_fallback|main_mode_config_fallback,53554,45281,0.4833459450706539,0.4825031238675802,-0.0008428212030737181,27783,23483,0.5187847779811032,0.5186060378525209,-0.00017874012858232202,11645,9808,0.4210355050979825,0.41988098805599555,0.9418423885822305,0.9569526245366098,0.015110235954379325,feature_wave03_atr_compression_session_state_v0,label_wave03_expansion_followthrough_h6_v0,decision_wave03_continuation_abstain_timeout_h6_v0,volatility_state_reversal_continuation_score_probe,not_executed_score_telemetry_only,score_probe_preflight_direction_and_trade_execution_pending,inconclusive,proxy_inconclusive_runtime_score_observed_but_portable_contract_missing,incomplete_main_mode_fallback_portable_contract_missing,runtime_probe,no_l5_until_portable_l4_contract,wave03_l4_pair_judgment_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,repair portable Strategy Tester contract and rerun/record L4 before any L5 routing
wave03_vst_cell_008,onnxlab_wave03_vst_cell_008_expansion_followthrough_h12_v0,bundle_wave03_vst_cell_008_l4_onnx_export_v0,attempt_wave03_vst_cell_008_l4_validation_v0,attempt_wave03_vst_cell_008_l4_research_oos_v0,true,true,true,true,true,true,false,false,main_mode_config_fallback|main_mode_config_fallback,53554,45281,0.42983183123311985,0.426379127806431,-0.0034527034266888523,25268,22992,0.4718228330283452,0.5077626377509331,0.0359398047225879,11305,10404,0.4088311876175322,0.4453957789288925,0.8735018563602354,0.9462821721256095,0.07278031576537414,feature_wave03_realized_vol_regime_transition_v0,label_wave03_expansion_followthrough_h12_v0,decision_wave03_continuation_abstain_timeout_h12_v0,volatility_state_reversal_continuation_score_probe,not_executed_score_telemetry_only,score_probe_preflight_direction_and_trade_execution_pending,preserved_clue,proxy_preserved_clue_runtime_score_observed_but_portable_contract_missing,incomplete_main_mode_fallback_portable_contract_missing,runtime_probe,no_l5_until_portable_l4_contract,wave03_l4_pair_judgment_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,repair portable Strategy Tester contract and rerun/record L4 before any L5 routing
wave03_vst_cell_009,onnxlab_wave03_vst_cell_009_vol_state_tradeability_h8_v0,bundle_wave03_vst_cell_009_l4_onnx_export_v0,attempt_wave03_vst_cell_009_l4_validation_v0,attempt_wave03_vst_cell_009_l4_research_oos_v0,true,true,true,true,true,true,false,false,main_mode_config_fallback|main_mode_config_fallback,53554,45281,0.5065446866231841,0.5045388952907025,-0.002005791332481577,21084,17112,0.3936960824588266,0.3779068483469888,-0.015789234111837802,21229,17263,0.3945177476305519,0.37899844123910514,0.9409722572323812,0.9399204380554245,-0.0010518191769567364,feature_wave03_range_percentile_path_quality_v0,label_wave03_vol_state_tradeability_h8_v0,decision_wave03_tradeability_then_side_v0,volatility_state_reversal_continuation_score_probe,not_executed_score_telemetry_only,score_probe_preflight_direction_and_trade_execution_pending,preserved_clue,proxy_preserved_clue_runtime_score_observed_but_portable_contract_missing,incomplete_main_mode_fallback_portable_contract_missing,runtime_probe,no_l5_until_portable_l4_contract,wave03_l4_pair_judgment_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,repair portable Strategy Tester contract and rerun/record L4 before any L5 routing
wave03_vst_cell_010,onnxlab_wave03_vst_cell_010_vol_state_tradeability_h12_v0,bundle_wave03_vst_cell_010_l4_onnx_export_v0,attempt_wave03_vst_cell_010_l4_validation_v0,attempt_wave03_vst_cell_010_l4_research_oos_v0,true,true,true,true,true,true,false,false,main_mode_config_fallback|main_mode_config_fallback,53554,45281,0.7036835773937036,0.7028569268880811,-0.0008266505056224727,22375,17699,0.4178025917765246,0.3908703429694574,-0.02693224880706724,22462,17783,0.41746273649778837,0.39044900647711056,0.9039708765801706,0.9347855040959407,0.030814627515770132,feature_wave03_multiscale_compression_release_v0,label_wave03_vol_state_tradeability_h12_v0,decision_wave03_tradeability_then_side_v0,volatility_state_reversal_continuation_score_probe,not_executed_score_telemetry_only,score_probe_preflight_direction_and_trade_execution_pending,preserved_clue,proxy_preserved_clue_runtime_score_observed_but_portable_contract_missing,incomplete_main_mode_fallback_portable_contract_missing,runtime_probe,no_l5_until_portable_l4_contract,wave03_l4_pair_judgment_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,repair portable Strategy Tester contract and rerun/record L4 before any L5 routing
