cell_id,run_id,bundle_id,direction_policy,validation_attempt_id,research_oos_attempt_id,validation_execution_observed,research_oos_execution_observed,both_period_roles_observed,nonempty_execution_pair,tester_report_pair_observed,runtime_probe_pair_complete,validation_row_count,research_oos_row_count,validation_open_action_count,research_oos_open_action_count,validation_close_action_count,research_oos_close_action_count,validation_open_failed_count,research_oos_open_failed_count,validation_open_rate,research_oos_open_rate,abs_open_rate_delta,validation_open_failed_rate,research_oos_open_failed_rate,max_open_failed_rate,validation_source_tradeable_count,research_oos_source_tradeable_count,validation_action_counts,research_oos_action_counts,source_proxy_judgment,source_l4_score_l5_status,source_l4_score_comparison_class,decision_replay_comparison_class,result_judgment,l5_routing_status,candidate_count,l5_candidate_count,claim_boundary,next_action
wave02_crh_cell_001,onnxlab_wave02_crh_cell_001_cost_risk_holding_v0,bundle_wave02_crh_cell_001_l4_onnx_export_v0,score_band_side,attempt_wave02_crh_cell_001_l4_decision_replay_validation_score_band_side_v0,attempt_wave02_crh_cell_001_l4_decision_replay_research_oos_score_band_side_v0,true,true,true,true,true,true,53554,45281,4873,4356,4881,4362,36,12,0.09099226948500579,0.09619928888496279,0.005207019399957005,0.0006722186951488218,0.0002650118151100903,0.0006722186951488218,0,0,"{""close_flat"": 2134, ""close_hold_elapsed"": 2747, ""hold_same_direction"": 15169, ""no_trade_flat"": 28595, ""open_failed"": 36, ""open_long"": 2426, ""open_short"": 2447}","{""close_flat"": 1778, ""close_hold_elapsed"": 2584, ""hold_same_direction"": 14174, ""no_trade_flat"": 22377, ""open_failed"": 12, ""open_long"": 2166, ""open_short"": 2190}",preserved_clue,l5_routing_review_requires_decision_execution_adapter_no_candidate_claim,proxy_preserved_clue_runtime_score_observed_decision_execution_pending,decision_replay_actions_observed,runtime_probe,l5_routing_review_required_with_open_failed_note_no_candidate_claim,0,0,wave02_cost_risk_holding_decision_replay_pair_judgment_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve,review bounded L5 routing with open_failed caveat; no candidate claim
wave02_crh_cell_002,onnxlab_wave02_crh_cell_002_cost_risk_holding_v0,bundle_wave02_crh_cell_002_l4_onnx_export_v0,score_band_side,attempt_wave02_crh_cell_002_l4_decision_replay_validation_score_band_side_v0,attempt_wave02_crh_cell_002_l4_decision_replay_research_oos_score_band_side_v0,true,true,true,true,true,true,53554,45281,3139,2739,3199,2805,26,37,0.058613735668670876,0.06048894679887812,0.0018752111302072424,0.0004854912798297046,0.0008171197632561118,0.0008171197632561118,0,0,"{""close_flat"": 1825, ""close_hold_elapsed"": 1374, ""hold_same_direction"": 19027, ""no_trade_flat"": 28163, ""open_failed"": 26, ""open_long"": 1119, ""open_short"": 2020}","{""close_flat"": 1721, ""close_hold_elapsed"": 1084, ""hold_same_direction"": 15293, ""no_trade_flat"": 24407, ""open_failed"": 37, ""open_long"": 992, ""open_short"": 1747}",preserved_clue,l5_routing_review_requires_decision_execution_adapter_no_candidate_claim,proxy_preserved_clue_runtime_score_observed_decision_execution_pending,decision_replay_actions_observed,runtime_probe,l5_routing_review_required_with_open_failed_note_no_candidate_claim,0,0,wave02_cost_risk_holding_decision_replay_pair_judgment_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve,review bounded L5 routing with open_failed caveat; no candidate claim
wave02_crh_cell_003,onnxlab_wave02_crh_cell_003_cost_risk_holding_v0,bundle_wave02_crh_cell_003_l4_onnx_export_v0,score_band_side,attempt_wave02_crh_cell_003_l4_decision_replay_validation_score_band_side_v0,attempt_wave02_crh_cell_003_l4_decision_replay_research_oos_score_band_side_v0,true,true,true,true,true,true,53554,45281,3885,3012,3900,3019,32,13,0.07254360085147701,0.06651796559263268,0.006025635258844336,0.0005975277290211748,0.0002870961330359312,0.0005975277290211748,0,0,"{""close_flat"": 2043, ""close_hold_elapsed"": 1857, ""hold_same_direction"": 11177, ""no_trade_flat"": 34560, ""open_failed"": 32, ""open_long"": 2257, ""open_short"": 1628}","{""close_flat"": 1617, ""close_hold_elapsed"": 1402, ""hold_same_direction"": 8564, ""no_trade_flat"": 30673, ""open_failed"": 13, ""open_long"": 1762, ""open_short"": 1250}",preserved_clue,l5_routing_review_requires_decision_execution_adapter_no_candidate_claim,proxy_preserved_clue_runtime_score_observed_decision_execution_pending,decision_replay_actions_observed,runtime_probe,l5_routing_review_required_with_open_failed_note_no_candidate_claim,0,0,wave02_cost_risk_holding_decision_replay_pair_judgment_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve,review bounded L5 routing with open_failed caveat; no candidate claim
wave02_crh_cell_004,onnxlab_wave02_crh_cell_004_cost_risk_holding_v0,bundle_wave02_crh_cell_004_l4_onnx_export_v0,score_band_side,attempt_wave02_crh_cell_004_l4_decision_replay_validation_score_band_side_v0,attempt_wave02_crh_cell_004_l4_decision_replay_research_oos_score_band_side_v0,true,true,true,true,true,true,53554,45281,5227,4466,5232,4471,30,19,0.09760241998730254,0.09862856385680528,0.0010261438695027408,0.0005601822459573515,0.00041960204059097637,0.0005601822459573515,0,0,"{""close_flat"": 2706, ""close_hold_elapsed"": 2526, ""hold_same_direction"": 15142, ""no_trade_flat"": 27923, ""open_failed"": 30, ""open_long"": 1775, ""open_short"": 3452}","{""close_flat"": 2357, ""close_hold_elapsed"": 2114, ""hold_same_direction"": 12882, ""no_trade_flat"": 23443, ""open_failed"": 19, ""open_long"": 1523, ""open_short"": 2943}",preserved_clue,l5_routing_review_requires_decision_execution_adapter_no_candidate_claim,proxy_preserved_clue_runtime_score_observed_decision_execution_pending,decision_replay_actions_observed,runtime_probe,l5_routing_review_required_with_open_failed_note_no_candidate_claim,0,0,wave02_cost_risk_holding_decision_replay_pair_judgment_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve,review bounded L5 routing with open_failed caveat; no candidate claim
wave02_crh_cell_005,onnxlab_wave02_crh_cell_005_cost_risk_holding_v0,bundle_wave02_crh_cell_005_l4_onnx_export_v0,score_band_side,attempt_wave02_crh_cell_005_l4_decision_replay_validation_score_band_side_v0,attempt_wave02_crh_cell_005_l4_decision_replay_research_oos_score_band_side_v0,true,true,true,true,true,true,53554,45281,3897,3509,3915,3522,25,19,0.07276767374985996,0.07749387160177558,0.004726197851915623,0.00046681853829779287,0.00041960204059097637,0.00046681853829779287,0,0,"{""close_flat"": 1864, ""close_hold_elapsed"": 2051, ""hold_same_direction"": 16202, ""no_trade_flat"": 29515, ""open_failed"": 25, ""open_long"": 1451, ""open_short"": 2446}","{""close_flat"": 1637, ""close_hold_elapsed"": 1885, ""hold_same_direction"": 14909, ""no_trade_flat"": 23322, ""open_failed"": 19, ""open_long"": 1336, ""open_short"": 2173}",preserved_clue,l5_routing_review_requires_decision_execution_adapter_no_candidate_claim,proxy_preserved_clue_runtime_score_observed_decision_execution_pending,decision_replay_actions_observed,runtime_probe,l5_routing_review_required_with_open_failed_note_no_candidate_claim,0,0,wave02_cost_risk_holding_decision_replay_pair_judgment_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve,review bounded L5 routing with open_failed caveat; no candidate claim
wave02_crh_cell_006,onnxlab_wave02_crh_cell_006_cost_risk_holding_v0,bundle_wave02_crh_cell_006_l4_onnx_export_v0,score_band_side,attempt_wave02_crh_cell_006_l4_decision_replay_validation_score_band_side_v0,attempt_wave02_crh_cell_006_l4_decision_replay_research_oos_score_band_side_v0,true,true,true,true,true,true,53554,45281,4791,4070,4796,4083,23,15,0.08946110467938903,0.0898831739581723,0.0004220692787832714,0.00042947305523396946,0.0003312647688876129,0.00042947305523396946,0,0,"{""close_flat"": 3794, ""close_hold_elapsed"": 1002, ""hold_same_direction"": 13920, ""no_trade_flat"": 30024, ""open_failed"": 23, ""open_long"": 3006, ""open_short"": 1785}","{""close_flat"": 3317, ""close_hold_elapsed"": 766, ""hold_same_direction"": 10979, ""no_trade_flat"": 26134, ""open_failed"": 15, ""open_long"": 2655, ""open_short"": 1415}",preserved_clue,l5_routing_review_requires_decision_execution_adapter_no_candidate_claim,proxy_preserved_clue_runtime_score_observed_decision_execution_pending,decision_replay_actions_observed,runtime_probe,l5_routing_review_required_with_open_failed_note_no_candidate_claim,0,0,wave02_cost_risk_holding_decision_replay_pair_judgment_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve,review bounded L5 routing with open_failed caveat; no candidate claim
