attempt_id,source_attempt_id,run_id,bundle_id,cell_id,period_role,direction_policy,from_date,to_date,status,result_judgment,source_score_telemetry_observed,execution_telemetry_observed,execution_row_count,open_action_count,close_action_count,open_failed_count,tester_report_observed,runtime_probe_complete,tester_log_observed,tester_final_balance,terminal_mode,terminal_exit_code,terminal_timed_out,terminal_run_summary_path,execution_telemetry_summary_path,tester_log_summary_path,repo_execution_telemetry_path,tester_report_path,claim_boundary,next_action
attempt_wave02_elq_cell_001_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_elq_cell_001_l4_validation_v0,onnxlab_wave02_elq_cell_001_execution_liquidity_v0,bundle_wave02_elq_cell_001_l4_onnx_export_v0,wave02_elq_cell_001,validation,momentum_ret_1,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,True,53554,7693,1262,93,True,True,True,500.0,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave02_elq_cell_001_l4_decision_replay_validation_momentum_ret_1_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_001_l4_decision_replay_validation_momentum_ret_1_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_001_l4_decision_replay_validation_momentum_ret_1_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_001_l4_decision_replay_validation_momentum_ret_1_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_001_l4_decision_replay_validation_momentum_ret_1_v0/reports/tester_report.htm,wave02_execution_liquidity_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve,judge sparse decision surface with completed L4 runtime contract before any L5 or economics claim
attempt_wave02_elq_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0,attempt_wave02_elq_cell_001_l4_research_oos_v0,onnxlab_wave02_elq_cell_001_execution_liquidity_v0,bundle_wave02_elq_cell_001_l4_onnx_export_v0,wave02_elq_cell_001,research_oos,momentum_ret_1,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,True,45281,5976,1025,91,True,True,True,500.0,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave02_elq_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0/reports/tester_report.htm,wave02_execution_liquidity_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve,judge sparse decision surface with completed L4 runtime contract before any L5 or economics claim
attempt_wave02_elq_cell_002_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_elq_cell_002_l4_validation_v0,onnxlab_wave02_elq_cell_002_execution_liquidity_v0,bundle_wave02_elq_cell_002_l4_onnx_export_v0,wave02_elq_cell_002,validation,momentum_ret_1,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,True,53554,5538,1888,0,True,True,True,500.0,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave02_elq_cell_002_l4_decision_replay_validation_momentum_ret_1_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_002_l4_decision_replay_validation_momentum_ret_1_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_002_l4_decision_replay_validation_momentum_ret_1_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_002_l4_decision_replay_validation_momentum_ret_1_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_002_l4_decision_replay_validation_momentum_ret_1_v0/reports/tester_report.htm,wave02_execution_liquidity_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve,judge sparse decision surface with completed L4 runtime contract before any L5 or economics claim
attempt_wave02_elq_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0,attempt_wave02_elq_cell_002_l4_research_oos_v0,onnxlab_wave02_elq_cell_002_execution_liquidity_v0,bundle_wave02_elq_cell_002_l4_onnx_export_v0,wave02_elq_cell_002,research_oos,momentum_ret_1,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,True,45281,4355,1659,0,True,True,True,500.0,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave02_elq_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0/reports/tester_report.htm,wave02_execution_liquidity_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve,judge sparse decision surface with completed L4 runtime contract before any L5 or economics claim
attempt_wave02_elq_cell_003_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_elq_cell_003_l4_validation_v0,onnxlab_wave02_elq_cell_003_execution_liquidity_v0,bundle_wave02_elq_cell_003_l4_onnx_export_v0,wave02_elq_cell_003,validation,momentum_ret_1,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,True,53554,3157,1087,0,True,True,True,500.0,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave02_elq_cell_003_l4_decision_replay_validation_momentum_ret_1_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_003_l4_decision_replay_validation_momentum_ret_1_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_003_l4_decision_replay_validation_momentum_ret_1_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_003_l4_decision_replay_validation_momentum_ret_1_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_003_l4_decision_replay_validation_momentum_ret_1_v0/reports/tester_report.htm,wave02_execution_liquidity_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve,judge sparse decision surface with completed L4 runtime contract before any L5 or economics claim
attempt_wave02_elq_cell_003_l4_decision_replay_research_oos_momentum_ret_1_v0,attempt_wave02_elq_cell_003_l4_research_oos_v0,onnxlab_wave02_elq_cell_003_execution_liquidity_v0,bundle_wave02_elq_cell_003_l4_onnx_export_v0,wave02_elq_cell_003,research_oos,momentum_ret_1,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,True,45281,2278,928,0,True,True,True,500.0,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave02_elq_cell_003_l4_decision_replay_research_oos_momentum_ret_1_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_003_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_003_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_003_l4_decision_replay_research_oos_momentum_ret_1_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_003_l4_decision_replay_research_oos_momentum_ret_1_v0/reports/tester_report.htm,wave02_execution_liquidity_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve,judge sparse decision surface with completed L4 runtime contract before any L5 or economics claim
attempt_wave02_elq_cell_004_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_elq_cell_004_l4_validation_v0,onnxlab_wave02_elq_cell_004_execution_liquidity_v0,bundle_wave02_elq_cell_004_l4_onnx_export_v0,wave02_elq_cell_004,validation,momentum_ret_1,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,True,53554,7940,2028,81,True,True,True,500.0,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave02_elq_cell_004_l4_decision_replay_validation_momentum_ret_1_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_004_l4_decision_replay_validation_momentum_ret_1_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_004_l4_decision_replay_validation_momentum_ret_1_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_004_l4_decision_replay_validation_momentum_ret_1_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_004_l4_decision_replay_validation_momentum_ret_1_v0/reports/tester_report.htm,wave02_execution_liquidity_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve,judge sparse decision surface with completed L4 runtime contract before any L5 or economics claim
attempt_wave02_elq_cell_004_l4_decision_replay_research_oos_momentum_ret_1_v0,attempt_wave02_elq_cell_004_l4_research_oos_v0,onnxlab_wave02_elq_cell_004_execution_liquidity_v0,bundle_wave02_elq_cell_004_l4_onnx_export_v0,wave02_elq_cell_004,research_oos,momentum_ret_1,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,True,45281,6997,1674,84,True,True,True,500.0,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave02_elq_cell_004_l4_decision_replay_research_oos_momentum_ret_1_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_004_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_004_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_004_l4_decision_replay_research_oos_momentum_ret_1_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_004_l4_decision_replay_research_oos_momentum_ret_1_v0/reports/tester_report.htm,wave02_execution_liquidity_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve,judge sparse decision surface with completed L4 runtime contract before any L5 or economics claim
attempt_wave02_elq_cell_005_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_elq_cell_005_l4_validation_v0,onnxlab_wave02_elq_cell_005_execution_liquidity_v0,bundle_wave02_elq_cell_005_l4_onnx_export_v0,wave02_elq_cell_005,validation,momentum_ret_1,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,True,53554,4739,1475,0,True,True,True,500.0,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave02_elq_cell_005_l4_decision_replay_validation_momentum_ret_1_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_005_l4_decision_replay_validation_momentum_ret_1_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_005_l4_decision_replay_validation_momentum_ret_1_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_005_l4_decision_replay_validation_momentum_ret_1_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_005_l4_decision_replay_validation_momentum_ret_1_v0/reports/tester_report.htm,wave02_execution_liquidity_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve,judge sparse decision surface with completed L4 runtime contract before any L5 or economics claim
attempt_wave02_elq_cell_005_l4_decision_replay_research_oos_momentum_ret_1_v0,attempt_wave02_elq_cell_005_l4_research_oos_v0,onnxlab_wave02_elq_cell_005_execution_liquidity_v0,bundle_wave02_elq_cell_005_l4_onnx_export_v0,wave02_elq_cell_005,research_oos,momentum_ret_1,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,True,45281,4120,1327,0,True,True,True,500.0,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave02_elq_cell_005_l4_decision_replay_research_oos_momentum_ret_1_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_005_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_005_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_005_l4_decision_replay_research_oos_momentum_ret_1_v0/telemetry/execution_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_005_l4_decision_replay_research_oos_momentum_ret_1_v0/reports/tester_report.htm,wave02_execution_liquidity_decision_replay_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve,judge sparse decision surface with completed L4 runtime contract before any L5 or economics claim
