attempt_id,source_attempt_id,run_id,bundle_id,cell_id,period_role,direction_policy,hold_bars,hold_bars_source,from_date,to_date,status,attempt_manifest_path,tester_config_path,source_score_telemetry_common_path,source_score_telemetry_local_path,source_score_telemetry_sha256,source_score_telemetry_size_bytes,adapter_score_telemetry_common_path,adapter_score_telemetry_local_path,adapter_score_telemetry_sha256,adapter_score_telemetry_size_bytes,adapter_common_copy_status,execution_telemetry_common_path,trade_shape_telemetry_common_path,source_decision_family,adapter_decision_family,decision_family,decision_execution_kind,decision_output,source_decision_counts_json,adapter_decision_counts_json,adapter_tradeable_count,adapter_flat_count,score_low_threshold,score_high_threshold,runtime_period_set_id,tester_execution_profile_id,claim_boundary
attempt_wave02_elq_cell_001_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_elq_cell_001_l4_validation_v0,onnxlab_wave02_elq_cell_001_execution_liquidity_v0,bundle_wave02_elq_cell_001_l4_onnx_export_v0,wave02_elq_cell_001,validation,momentum_ret_1,6,label_schema.horizon_bars,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_elq_cell_001_l4_decision_replay_validation_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_001_l4_decision_replay_validation_momentum_ret_1_v0/tester_config.ini,SpaceSonar\wave02_execution_liquidity_l4_score_probe\attempt_wave02_elq_cell_001_l4_validation_v0\score_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_001_l4_validation_v0/telemetry/score_telemetry.csv,0a9761922ef17546ca3b2e48e6dac18eb7856cc7d94137f8d5198a1f0725eab0,7624992,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_001_l4_decision_replay_validation_momentum_ret_1_v0\score_replay_input.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_001_l4_decision_replay_validation_momentum_ret_1_v0/telemetry/score_replay_input.csv,a45e59db9bcf2dde2fca0c8619c54b94e9a92ab2519e362f07014c7ff6d396dc,8499461,copied_to_mt5_common_files,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_001_l4_decision_replay_validation_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_001_l4_decision_replay_validation_momentum_ret_1_v0\trade_shape_telemetry.csv,session_liquidity_abstain_h6,abstain_capable_direction_agnostic_tradeability,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_tradeable_then_momentum_ret_1_side_else_flat,"{""unknown"": 53554}","{""flat"": 39322, ""tradeable"": 14232}",14232,39322,0.4073881870833824,0.5968432340398232,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_execution_liquidity_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_elq_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0,attempt_wave02_elq_cell_001_l4_research_oos_v0,onnxlab_wave02_elq_cell_001_execution_liquidity_v0,bundle_wave02_elq_cell_001_l4_onnx_export_v0,wave02_elq_cell_001,research_oos,momentum_ret_1,6,label_schema.horizon_bars,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_elq_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_config.ini,SpaceSonar\wave02_execution_liquidity_l4_score_probe\attempt_wave02_elq_cell_001_l4_research_oos_v0\score_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_001_l4_research_oos_v0/telemetry/score_telemetry.csv,e559d1071721287a2119a3c933727e4a31d44196203553bc24ea487555e287c3,6448976,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0\score_replay_input.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0/telemetry/score_replay_input.csv,59b7defa449648fa81d115c01e14f77246b2d1f2aae5e13a6246664f1f7802e0,7184900,copied_to_mt5_common_files,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0\trade_shape_telemetry.csv,session_liquidity_abstain_h6,abstain_capable_direction_agnostic_tradeability,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_tradeable_then_momentum_ret_1_side_else_flat,"{""unknown"": 45281}","{""flat"": 33939, ""tradeable"": 11342}",11342,33939,0.4073881870833824,0.5968432340398232,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_execution_liquidity_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_elq_cell_002_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_elq_cell_002_l4_validation_v0,onnxlab_wave02_elq_cell_002_execution_liquidity_v0,bundle_wave02_elq_cell_002_l4_onnx_export_v0,wave02_elq_cell_002,validation,momentum_ret_1,8,label_schema.horizon_bars,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_elq_cell_002_l4_decision_replay_validation_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_002_l4_decision_replay_validation_momentum_ret_1_v0/tester_config.ini,SpaceSonar\wave02_execution_liquidity_l4_score_probe\attempt_wave02_elq_cell_002_l4_validation_v0\score_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_002_l4_validation_v0/telemetry/score_telemetry.csv,6ff5b94699343d8cdfbc01438cc996300b6b228cdc4e182f99d1fa7f60501b66,7303668,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_002_l4_decision_replay_validation_momentum_ret_1_v0\score_replay_input.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_002_l4_decision_replay_validation_momentum_ret_1_v0/telemetry/score_replay_input.csv,c30437e6ed07b4aee5412ac9f2f1bcd9ded624d6252862a9e927225c1e915695,8473831,copied_to_mt5_common_files,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_002_l4_decision_replay_validation_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_002_l4_decision_replay_validation_momentum_ret_1_v0\trade_shape_telemetry.csv,high_spread_abstain_h8,abstain_capable_direction_agnostic_tradeability,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_tradeable_then_momentum_ret_1_side_else_flat,"{""unknown"": 53554}","{""flat"": 44448, ""tradeable"": 9106}",9106,44448,0.5923133618433947,0.7690716806422275,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_execution_liquidity_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_elq_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0,attempt_wave02_elq_cell_002_l4_research_oos_v0,onnxlab_wave02_elq_cell_002_execution_liquidity_v0,bundle_wave02_elq_cell_002_l4_onnx_export_v0,wave02_elq_cell_002,research_oos,momentum_ret_1,8,label_schema.horizon_bars,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_elq_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_config.ini,SpaceSonar\wave02_execution_liquidity_l4_score_probe\attempt_wave02_elq_cell_002_l4_research_oos_v0\score_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_002_l4_research_oos_v0/telemetry/score_telemetry.csv,dfd83a11400311259e263757c92f4ee474e3c39028c1973f0c7de3bfc4ae7dde,6177290,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0\score_replay_input.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0/telemetry/score_replay_input.csv,f8ae25d1680e14f0979b2ebabebf8fe92bd520aa945f57b94f88b2fa08be9f0d,7164095,copied_to_mt5_common_files,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0\trade_shape_telemetry.csv,high_spread_abstain_h8,abstain_capable_direction_agnostic_tradeability,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_tradeable_then_momentum_ret_1_side_else_flat,"{""unknown"": 45281}","{""flat"": 38100, ""tradeable"": 7181}",7181,38100,0.5923133618433947,0.7690716806422275,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_execution_liquidity_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_elq_cell_003_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_elq_cell_003_l4_validation_v0,onnxlab_wave02_elq_cell_003_execution_liquidity_v0,bundle_wave02_elq_cell_003_l4_onnx_export_v0,wave02_elq_cell_003,validation,momentum_ret_1,6,label_schema.horizon_bars,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_elq_cell_003_l4_decision_replay_validation_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_003_l4_decision_replay_validation_momentum_ret_1_v0/tester_config.ini,SpaceSonar\wave02_execution_liquidity_l4_score_probe\attempt_wave02_elq_cell_003_l4_validation_v0\score_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_003_l4_validation_v0/telemetry/score_telemetry.csv,35aa618ac0cc9b14cc49ea710c1157fc1604af8eaf097b2ee88efb27c220f1d4,7571438,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_003_l4_decision_replay_validation_momentum_ret_1_v0\score_replay_input.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_003_l4_decision_replay_validation_momentum_ret_1_v0/telemetry/score_replay_input.csv,342ecb567b73bf03dfa26f9b1f8ca81214505ab3a9c358827d20ce4c1a83a520,8454191,copied_to_mt5_common_files,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_003_l4_decision_replay_validation_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_003_l4_decision_replay_validation_momentum_ret_1_v0\trade_shape_telemetry.csv,open_failed_prevention_gate,abstain_capable_direction_agnostic_tradeability,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_tradeable_then_momentum_ret_1_side_else_flat,"{""unknown"": 53554}","{""flat"": 48376, ""tradeable"": 5178}",5178,48376,0.422905427733929,0.5906114307054556,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_execution_liquidity_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_elq_cell_003_l4_decision_replay_research_oos_momentum_ret_1_v0,attempt_wave02_elq_cell_003_l4_research_oos_v0,onnxlab_wave02_elq_cell_003_execution_liquidity_v0,bundle_wave02_elq_cell_003_l4_onnx_export_v0,wave02_elq_cell_003,research_oos,momentum_ret_1,6,label_schema.horizon_bars,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_elq_cell_003_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_003_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_config.ini,SpaceSonar\wave02_execution_liquidity_l4_score_probe\attempt_wave02_elq_cell_003_l4_research_oos_v0\score_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_003_l4_research_oos_v0/telemetry/score_telemetry.csv,155af55d4634c29dbfa406cdd63fada689a4f798e97d8a505585bbff6eea2b0c,6403695,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_003_l4_decision_replay_research_oos_momentum_ret_1_v0\score_replay_input.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_003_l4_decision_replay_research_oos_momentum_ret_1_v0/telemetry/score_replay_input.csv,bb09892b9e1d73e73b4363b483662e0891859736200a680e0b2c6cd2ee5db29a,7146145,copied_to_mt5_common_files,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_003_l4_decision_replay_research_oos_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_003_l4_decision_replay_research_oos_momentum_ret_1_v0\trade_shape_telemetry.csv,open_failed_prevention_gate,abstain_capable_direction_agnostic_tradeability,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_tradeable_then_momentum_ret_1_side_else_flat,"{""unknown"": 45281}","{""flat"": 41690, ""tradeable"": 3591}",3591,41690,0.422905427733929,0.5906114307054556,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_execution_liquidity_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_elq_cell_004_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_elq_cell_004_l4_validation_v0,onnxlab_wave02_elq_cell_004_execution_liquidity_v0,bundle_wave02_elq_cell_004_l4_onnx_export_v0,wave02_elq_cell_004,validation,momentum_ret_1,10,label_schema.horizon_bars,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_elq_cell_004_l4_decision_replay_validation_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_004_l4_decision_replay_validation_momentum_ret_1_v0/tester_config.ini,SpaceSonar\wave02_execution_liquidity_l4_score_probe\attempt_wave02_elq_cell_004_l4_validation_v0\score_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_004_l4_validation_v0/telemetry/score_telemetry.csv,9bdcd211a3fd380c6c968a5cab8e186db2c645fce856d6c1d6c852e3b03ae30e,7678546,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_004_l4_decision_replay_validation_momentum_ret_1_v0\score_replay_input.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_004_l4_decision_replay_validation_momentum_ret_1_v0/telemetry/score_replay_input.csv,fd87e33c0e51a71d2a1974d183fd91823a30a1defef21720610b3800dacc6a5c,8497646,copied_to_mt5_common_files,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_004_l4_decision_replay_validation_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_004_l4_decision_replay_validation_momentum_ret_1_v0\trade_shape_telemetry.csv,session_transition_close_gate,abstain_capable_direction_agnostic_tradeability,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_tradeable_then_momentum_ret_1_side_else_flat,"{""unknown"": 53554}","{""flat"": 39685, ""tradeable"": 13869}",13869,39685,0.010384164384605744,0.7152861058462103,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_execution_liquidity_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_elq_cell_004_l4_decision_replay_research_oos_momentum_ret_1_v0,attempt_wave02_elq_cell_004_l4_research_oos_v0,onnxlab_wave02_elq_cell_004_execution_liquidity_v0,bundle_wave02_elq_cell_004_l4_onnx_export_v0,wave02_elq_cell_004,research_oos,momentum_ret_1,10,label_schema.horizon_bars,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_elq_cell_004_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_004_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_config.ini,SpaceSonar\wave02_execution_liquidity_l4_score_probe\attempt_wave02_elq_cell_004_l4_research_oos_v0\score_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_004_l4_research_oos_v0/telemetry/score_telemetry.csv,1c76b05d695cffc2ac1b693c5240f8c6ad8b0d971c2924e9b242039c63961f72,6494257,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_004_l4_decision_replay_research_oos_momentum_ret_1_v0\score_replay_input.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_004_l4_decision_replay_research_oos_momentum_ret_1_v0/telemetry/score_replay_input.csv,a7688869ce9228ce1ee1bb1cf949333f3011125e1b287a182bd83f45f5a75b46,7190745,copied_to_mt5_common_files,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_004_l4_decision_replay_research_oos_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_004_l4_decision_replay_research_oos_momentum_ret_1_v0\trade_shape_telemetry.csv,session_transition_close_gate,abstain_capable_direction_agnostic_tradeability,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_tradeable_then_momentum_ret_1_side_else_flat,"{""unknown"": 45281}","{""flat"": 32770, ""tradeable"": 12511}",12511,32770,0.010384164384605744,0.7152861058462103,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_execution_liquidity_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_elq_cell_005_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_elq_cell_005_l4_validation_v0,onnxlab_wave02_elq_cell_005_execution_liquidity_v0,bundle_wave02_elq_cell_005_l4_onnx_export_v0,wave02_elq_cell_005,validation,momentum_ret_1,12,label_schema.horizon_bars,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_elq_cell_005_l4_decision_replay_validation_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_005_l4_decision_replay_validation_momentum_ret_1_v0/tester_config.ini,SpaceSonar\wave02_execution_liquidity_l4_score_probe\attempt_wave02_elq_cell_005_l4_validation_v0\score_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_005_l4_validation_v0/telemetry/score_telemetry.csv,aeaee9b01a99c7d0e1fdccf0d079baeb3382dc365d0ae69210b9baae620f52d2,7464330,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_005_l4_decision_replay_validation_momentum_ret_1_v0\score_replay_input.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_005_l4_decision_replay_validation_momentum_ret_1_v0/telemetry/score_replay_input.csv,0643120d1ea967b9347acc981f47263a074808834db0103bcd88cadf864afff5,8468151,copied_to_mt5_common_files,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_005_l4_decision_replay_validation_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_005_l4_decision_replay_validation_momentum_ret_1_v0\trade_shape_telemetry.csv,vol_liquidity_abstain_h12,abstain_capable_direction_agnostic_tradeability,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_tradeable_then_momentum_ret_1_side_else_flat,"{""unknown"": 53554}","{""flat"": 45584, ""tradeable"": 7970}",7970,45584,0.4333762663355355,0.5894594990594683,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_execution_liquidity_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_elq_cell_005_l4_decision_replay_research_oos_momentum_ret_1_v0,attempt_wave02_elq_cell_005_l4_research_oos_v0,onnxlab_wave02_elq_cell_005_execution_liquidity_v0,bundle_wave02_elq_cell_005_l4_onnx_export_v0,wave02_elq_cell_005,research_oos,momentum_ret_1,12,label_schema.horizon_bars,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_elq_cell_005_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_elq_cell_005_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_config.ini,SpaceSonar\wave02_execution_liquidity_l4_score_probe\attempt_wave02_elq_cell_005_l4_research_oos_v0\score_telemetry.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_005_l4_research_oos_v0/telemetry/score_telemetry.csv,46e14382494ea670ad172393ff8bbc86f697e41e550e1400d4e4f8892d5eec26,6313133,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_005_l4_decision_replay_research_oos_momentum_ret_1_v0\score_replay_input.csv,runtime/mt5_attempts/attempt_wave02_elq_cell_005_l4_decision_replay_research_oos_momentum_ret_1_v0/telemetry/score_replay_input.csv,d652d338efde27ceeda5279323bdd7313f13abc5384767c8abaf097ae43e33f4,7162945,copied_to_mt5_common_files,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_005_l4_decision_replay_research_oos_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_execution_liquidity_l4_decision_replay\attempt_wave02_elq_cell_005_l4_decision_replay_research_oos_momentum_ret_1_v0\trade_shape_telemetry.csv,vol_liquidity_abstain_h12,abstain_capable_direction_agnostic_tradeability,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_tradeable_then_momentum_ret_1_side_else_flat,"{""unknown"": 45281}","{""flat"": 38330, ""tradeable"": 6951}",6951,38330,0.4333762663355355,0.5894594990594683,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_execution_liquidity_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
