cell_id,run_id,bundle_id,direction_policy,validation_attempt_id,research_oos_attempt_id,runtime_probe_pair_complete,tester_report_pair_observed,validation_open_action_count,research_oos_open_action_count,validation_open_rate,research_oos_open_rate,abs_open_rate_delta,validation_open_failed_count,research_oos_open_failed_count,max_open_failed_rate,source_proxy_judgment,source_l4_score_l5_status,decision_replay_comparison_class,result_judgment,l5_routing_status,routing_decision,routing_reason,candidate_id,candidate_summary_path,candidate_count_delta,l5_candidate_count_delta,claim_boundary,next_action
wave02_elq_cell_001,onnxlab_wave02_elq_cell_001_execution_liquidity_v0,bundle_wave02_elq_cell_001_l4_onnx_export_v0,momentum_ret_1,attempt_wave02_elq_cell_001_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_elq_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0,true,true,7693,5976,0.1436494006049968,0.13197588392482498,0.01167351668017183,93,91,0.0020096729312515183,preserved_clue,l5_routing_review_requires_decision_execution_adapter_no_candidate_claim,decision_replay_actions_observed,runtime_probe,l5_routing_review_required_with_open_failed_note_no_candidate_claim,hold_for_open_failed_caveat_review,minor_open_failed_present_before_candidate_manifest,,,0,0,wave02_execution_liquidity_decision_replay_l5_routing_decision_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_live_readiness_no_goal_achieve,prepare candidate-specific L5 runtime evidence for opened Wave02 ELQ decision replay targets
wave02_elq_cell_002,onnxlab_wave02_elq_cell_002_execution_liquidity_v0,bundle_wave02_elq_cell_002_l4_onnx_export_v0,momentum_ret_1,attempt_wave02_elq_cell_002_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_elq_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0,true,true,5538,4355,0.10340964260372708,0.09617720456703695,0.007232438036690131,0,0,0.0,preserved_clue,l5_routing_review_requires_decision_execution_adapter_no_candidate_claim,decision_replay_actions_observed,runtime_probe,l5_routing_review_required_no_candidate_claim,open_l5_candidate_manifest,zero_open_failed_paired_decision_replay_action_telemetry,candidate_wave02_elq_cell_002_decision_replay_momentum_ret_1_l5_target_v0,lab/candidates/candidate_wave02_elq_cell_002_decision_replay_momentum_ret_1_l5_target_v0/candidate_summary.yaml,1,0,wave02_execution_liquidity_decision_replay_l5_routing_decision_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_live_readiness_no_goal_achieve,prepare candidate-specific L5 runtime evidence for opened Wave02 ELQ decision replay targets
wave02_elq_cell_003,onnxlab_wave02_elq_cell_003_execution_liquidity_v0,bundle_wave02_elq_cell_003_l4_onnx_export_v0,momentum_ret_1,attempt_wave02_elq_cell_003_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_elq_cell_003_l4_decision_replay_research_oos_momentum_ret_1_v0,true,true,3157,2278,0.058949845016245284,0.05030807623506548,0.008641768781179802,0,0,0.0,preserved_clue,l5_routing_review_requires_decision_execution_adapter_no_candidate_claim,decision_replay_actions_observed,runtime_probe,l5_routing_review_required_no_candidate_claim,open_l5_candidate_manifest,zero_open_failed_paired_decision_replay_action_telemetry,candidate_wave02_elq_cell_003_decision_replay_momentum_ret_1_l5_target_v0,lab/candidates/candidate_wave02_elq_cell_003_decision_replay_momentum_ret_1_l5_target_v0/candidate_summary.yaml,1,0,wave02_execution_liquidity_decision_replay_l5_routing_decision_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_live_readiness_no_goal_achieve,prepare candidate-specific L5 runtime evidence for opened Wave02 ELQ decision replay targets
wave02_elq_cell_004,onnxlab_wave02_elq_cell_004_execution_liquidity_v0,bundle_wave02_elq_cell_004_l4_onnx_export_v0,momentum_ret_1,attempt_wave02_elq_cell_004_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_elq_cell_004_l4_decision_replay_research_oos_momentum_ret_1_v0,true,true,7940,6997,0.148261567763379,0.1545239725271085,0.0062624047637294955,81,84,0.0018550827057706323,preserved_clue,l5_routing_review_requires_decision_execution_adapter_no_candidate_claim,decision_replay_actions_observed,runtime_probe,l5_routing_review_required_with_open_failed_note_no_candidate_claim,hold_for_open_failed_caveat_review,minor_open_failed_present_before_candidate_manifest,,,0,0,wave02_execution_liquidity_decision_replay_l5_routing_decision_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_live_readiness_no_goal_achieve,prepare candidate-specific L5 runtime evidence for opened Wave02 ELQ decision replay targets
wave02_elq_cell_005,onnxlab_wave02_elq_cell_005_execution_liquidity_v0,bundle_wave02_elq_cell_005_l4_onnx_export_v0,momentum_ret_1,attempt_wave02_elq_cell_005_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_elq_cell_005_l4_decision_replay_research_oos_momentum_ret_1_v0,true,true,4739,4120,0.08849012211972962,0.09098738985446435,0.002497267734734729,0,0,0.0,preserved_clue,l5_routing_review_requires_decision_execution_adapter_no_candidate_claim,decision_replay_actions_observed,runtime_probe,l5_routing_review_required_no_candidate_claim,open_l5_candidate_manifest,zero_open_failed_paired_decision_replay_action_telemetry,candidate_wave02_elq_cell_005_decision_replay_momentum_ret_1_l5_target_v0,lab/candidates/candidate_wave02_elq_cell_005_decision_replay_momentum_ret_1_l5_target_v0/candidate_summary.yaml,1,0,wave02_execution_liquidity_decision_replay_l5_routing_decision_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_live_readiness_no_goal_achieve,prepare candidate-specific L5 runtime evidence for opened Wave02 ELQ decision replay targets
wave02_elq_cell_006,onnxlab_wave02_elq_cell_006_execution_liquidity_v0,bundle_wave02_elq_cell_006_l4_onnx_export_v0,momentum_ret_1,attempt_wave02_elq_cell_006_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_elq_cell_006_l4_decision_replay_research_oos_momentum_ret_1_v0,true,true,6517,5393,0.12169025656346864,0.11910072657405976,0.0025895299894088813,0,0,0.0,preserved_clue,l5_routing_review_requires_decision_execution_adapter_no_candidate_claim,decision_replay_actions_observed,runtime_probe,l5_routing_review_required_no_candidate_claim,open_l5_candidate_manifest,zero_open_failed_paired_decision_replay_action_telemetry,candidate_wave02_elq_cell_006_decision_replay_momentum_ret_1_l5_target_v0,lab/candidates/candidate_wave02_elq_cell_006_decision_replay_momentum_ret_1_l5_target_v0/candidate_summary.yaml,1,0,wave02_execution_liquidity_decision_replay_l5_routing_decision_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_live_readiness_no_goal_achieve,prepare candidate-specific L5 runtime evidence for opened Wave02 ELQ decision replay targets
