run_id,cell_id,bundle_id,status,bundle_manifest_path,onnx_path,onnx_sha256,feature_count,feature_order_hash,model_family,task_kind,parity_status,parity_max_abs_error,claim_boundary
onnxlab_wave02_elq_cell_001_execution_liquidity_v0,wave02_elq_cell_001,bundle_wave02_elq_cell_001_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,runtime/packages/bundle_wave02_elq_cell_001_l4_onnx_export_v0/experiment_bundle.json,runtime/packages/bundle_wave02_elq_cell_001_l4_onnx_export_v0/artifacts/model.onnx,7e02b417bbbf7be5bef1762d23660d7d056310113a110a88aa873aaa33024daa,32,25746e4ece33a55666f163dfb097dad90528c3fddf2f96887fdf366b0fbbda2c,logistic_or_linear_rank_scout,classification,passed,2.0159779634543185e-07,wave02_execution_liquidity_l4_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
onnxlab_wave02_elq_cell_002_execution_liquidity_v0,wave02_elq_cell_002,bundle_wave02_elq_cell_002_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,runtime/packages/bundle_wave02_elq_cell_002_l4_onnx_export_v0/experiment_bundle.json,runtime/packages/bundle_wave02_elq_cell_002_l4_onnx_export_v0/artifacts/model.onnx,be55c0674be5da0b071c8ae3aec3d3f7f2ae0d7722772c7e2ccbb3273746470c,26,88117d3e9aec1e818db2aac158d0e8fe7ec78feafd19e026096403f7db5f9845,tree_or_boosted_onnx_feasible_scout,classification,passed,1.070470280195579e-07,wave02_execution_liquidity_l4_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
onnxlab_wave02_elq_cell_003_execution_liquidity_v0,wave02_elq_cell_003,bundle_wave02_elq_cell_003_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,runtime/packages/bundle_wave02_elq_cell_003_l4_onnx_export_v0/experiment_bundle.json,runtime/packages/bundle_wave02_elq_cell_003_l4_onnx_export_v0/artifacts/model.onnx,0d28e2e5a27f439c17cb073c69af546386c2f008a68141d1387c81a69a7db863,35,8229383779cb365cfb048f41944ce8254e0c76a1550c2f76e1c5e217fe1ed1d8,logistic_or_linear_rank_scout,classification,passed,6.667410501481896e-08,wave02_execution_liquidity_l4_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
onnxlab_wave02_elq_cell_004_execution_liquidity_v0,wave02_elq_cell_004,bundle_wave02_elq_cell_004_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,runtime/packages/bundle_wave02_elq_cell_004_l4_onnx_export_v0/experiment_bundle.json,runtime/packages/bundle_wave02_elq_cell_004_l4_onnx_export_v0/artifacts/model.onnx,32fd890ac2a4da8ba71034b40921c96183738df7ea05eca8164841a362d6cda5,31,8c0e9c9338e6c4966f9e51e2b2edd05b6a2076389d6009d539feb4afeccfc24f,tree_or_boosted_onnx_feasible_scout,classification,passed,1.5389210250571494e-07,wave02_execution_liquidity_l4_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
onnxlab_wave02_elq_cell_005_execution_liquidity_v0,wave02_elq_cell_005,bundle_wave02_elq_cell_005_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,runtime/packages/bundle_wave02_elq_cell_005_l4_onnx_export_v0/experiment_bundle.json,runtime/packages/bundle_wave02_elq_cell_005_l4_onnx_export_v0/artifacts/model.onnx,439e426f246a84715d5dd77ca524a3f0d5c8985a0b657249f1ec82e1f59b5923,28,339e4c0b3b047eaf2f00beb198217ee368b56ffe783c2a93b27bb33987070fc5,logistic_or_linear_rank_scout,classification,passed,6.488703341300806e-08,wave02_execution_liquidity_l4_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
onnxlab_wave02_elq_cell_006_execution_liquidity_v0,wave02_elq_cell_006,bundle_wave02_elq_cell_006_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,runtime/packages/bundle_wave02_elq_cell_006_l4_onnx_export_v0/experiment_bundle.json,runtime/packages/bundle_wave02_elq_cell_006_l4_onnx_export_v0/artifacts/model.onnx,d50e347af84f2f04bdb8447be5346668a7c96e45c19f2d01d32d047f7e9a78f0,37,e6ffa7a4ab49d910d1e0723318ff1b4744b1a42ac92fc790db3b28fea16cb0f4,tree_or_boosted_onnx_feasible_scout,classification,passed,1.39098605078658e-07,wave02_execution_liquidity_l4_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
