candidate_id,run_id,bundle_id,cell_id,period_role,attempt_id,report_parse_status,missing_metric_count,total_net_profit,gross_profit,gross_loss,profit_factor,total_trades,balance_drawdown_maximal_pct,equity_drawdown_maximal_pct,period_judgment,judgment_reasons,tester_report_kpi_summary_path,claim_boundary
candidate_wave02_td_cell_001_decision_replay_momentum_ret_1_l5_target_v0,onnxlab_wave02_td_cell_001_tradeability_side_abstain_v0,bundle_wave02_td_cell_001_l4_onnx_export_v0,wave02_td_cell_001,validation,attempt_wave02_td_cell_001_l4_decision_replay_validation_momentum_ret_1_v0,parsed,0,-212.52,923.76,-1136.28,0.81,6345,43.54,43.57,negative_runtime_evidence,non_positive_total_net_profit|profit_factor_below_1|drawdown_above_10pct_reference,runtime/mt5_attempts/attempt_wave02_td_cell_001_l4_decision_replay_validation_momentum_ret_1_v0/tester_report_kpi_summary.yaml,wave02_l5_candidate_runtime_evidence_observed_negative_no_selected_baseline_no_runtime_authority_no_economics_pass_no_live_readiness_no_goal_achieve
candidate_wave02_td_cell_001_decision_replay_momentum_ret_1_l5_target_v0,onnxlab_wave02_td_cell_001_tradeability_side_abstain_v0,bundle_wave02_td_cell_001_l4_onnx_export_v0,wave02_td_cell_001,research_oos,attempt_wave02_td_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0,parsed,0,-113.13,840.61,-953.74,0.88,5333,28.19,30.42,negative_runtime_evidence,non_positive_total_net_profit|profit_factor_below_1|drawdown_above_10pct_reference,runtime/mt5_attempts/attempt_wave02_td_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_report_kpi_summary.yaml,wave02_l5_candidate_runtime_evidence_observed_negative_no_selected_baseline_no_runtime_authority_no_economics_pass_no_live_readiness_no_goal_achieve
candidate_wave02_td_cell_002_decision_replay_momentum_ret_1_l5_target_v0,onnxlab_wave02_td_cell_002_tradeability_side_abstain_v0,bundle_wave02_td_cell_002_l4_onnx_export_v0,wave02_td_cell_002,validation,attempt_wave02_td_cell_002_l4_decision_replay_validation_momentum_ret_1_v0,parsed,0,-217.35,812.08,-1029.43,0.79,6283,44.46,44.47,negative_runtime_evidence,non_positive_total_net_profit|profit_factor_below_1|drawdown_above_10pct_reference,runtime/mt5_attempts/attempt_wave02_td_cell_002_l4_decision_replay_validation_momentum_ret_1_v0/tester_report_kpi_summary.yaml,wave02_l5_candidate_runtime_evidence_observed_negative_no_selected_baseline_no_runtime_authority_no_economics_pass_no_live_readiness_no_goal_achieve
candidate_wave02_td_cell_002_decision_replay_momentum_ret_1_l5_target_v0,onnxlab_wave02_td_cell_002_tradeability_side_abstain_v0,bundle_wave02_td_cell_002_l4_onnx_export_v0,wave02_td_cell_002,research_oos,attempt_wave02_td_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0,parsed,0,-73.47,726.84,-800.31,0.91,5165,21.46,22.44,negative_runtime_evidence,non_positive_total_net_profit|profit_factor_below_1|drawdown_above_10pct_reference,runtime/mt5_attempts/attempt_wave02_td_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_report_kpi_summary.yaml,wave02_l5_candidate_runtime_evidence_observed_negative_no_selected_baseline_no_runtime_authority_no_economics_pass_no_live_readiness_no_goal_achieve
