attempt_id,source_attempt_id,run_id,bundle_id,cell_id,period_role,direction_policy,hold_bars,hold_bars_source,from_date,to_date,status,attempt_manifest_path,tester_config_path,source_score_telemetry_common_path,execution_telemetry_common_path,trade_shape_telemetry_common_path,decision_family,decision_execution_kind,decision_output,score_low_threshold,score_high_threshold,runtime_period_set_id,tester_execution_profile_id,claim_boundary
attempt_wave02_td_cell_001_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_td_cell_001_l4_validation_v0,onnxlab_wave02_td_cell_001_tradeability_side_abstain_v0,bundle_wave02_td_cell_001_l4_onnx_export_v0,wave02_td_cell_001,validation,momentum_ret_1,6,label_recipe_id_horizon_suffix,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_td_cell_001_l4_decision_replay_validation_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_td_cell_001_l4_decision_replay_validation_momentum_ret_1_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave02_td_cell_001_l4_validation_v0\score_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_001_l4_decision_replay_validation_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_001_l4_decision_replay_validation_momentum_ret_1_v0\trade_shape_telemetry.csv,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_uses_momentum_ret_1_side_otherwise_flat,0.39004478131052217,0.6380468750213177,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_td_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0,attempt_wave02_td_cell_001_l4_research_oos_v0,onnxlab_wave02_td_cell_001_tradeability_side_abstain_v0,bundle_wave02_td_cell_001_l4_onnx_export_v0,wave02_td_cell_001,research_oos,momentum_ret_1,6,label_recipe_id_horizon_suffix,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_td_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_td_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave02_td_cell_001_l4_research_oos_v0\score_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_001_l4_decision_replay_research_oos_momentum_ret_1_v0\trade_shape_telemetry.csv,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_uses_momentum_ret_1_side_otherwise_flat,0.39004478131052217,0.6380468750213177,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_td_cell_002_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_td_cell_002_l4_validation_v0,onnxlab_wave02_td_cell_002_tradeability_side_abstain_v0,bundle_wave02_td_cell_002_l4_onnx_export_v0,wave02_td_cell_002,validation,momentum_ret_1,12,label_recipe_id_horizon_suffix,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_td_cell_002_l4_decision_replay_validation_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_td_cell_002_l4_decision_replay_validation_momentum_ret_1_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave02_td_cell_002_l4_validation_v0\score_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_002_l4_decision_replay_validation_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_002_l4_decision_replay_validation_momentum_ret_1_v0\trade_shape_telemetry.csv,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_uses_momentum_ret_1_side_otherwise_flat,0.596191687414006,0.7857968403335479,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_td_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0,attempt_wave02_td_cell_002_l4_research_oos_v0,onnxlab_wave02_td_cell_002_tradeability_side_abstain_v0,bundle_wave02_td_cell_002_l4_onnx_export_v0,wave02_td_cell_002,research_oos,momentum_ret_1,12,label_recipe_id_horizon_suffix,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_td_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_td_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave02_td_cell_002_l4_research_oos_v0\score_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_002_l4_decision_replay_research_oos_momentum_ret_1_v0\trade_shape_telemetry.csv,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_uses_momentum_ret_1_side_otherwise_flat,0.596191687414006,0.7857968403335479,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_td_cell_003_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_td_cell_003_l4_validation_v0,onnxlab_wave02_td_cell_003_tradeability_side_abstain_v0,bundle_wave02_td_cell_003_l4_onnx_export_v0,wave02_td_cell_003,validation,momentum_ret_1,6,fallback_h6_recorded_for_tradeability_labels_without_explicit_horizon,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_td_cell_003_l4_decision_replay_validation_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_td_cell_003_l4_decision_replay_validation_momentum_ret_1_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave02_td_cell_003_l4_validation_v0\score_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_003_l4_decision_replay_validation_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_003_l4_decision_replay_validation_momentum_ret_1_v0\trade_shape_telemetry.csv,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_uses_momentum_ret_1_side_otherwise_flat,0.41907030144888047,0.9304082688146893,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_td_cell_003_l4_decision_replay_research_oos_momentum_ret_1_v0,attempt_wave02_td_cell_003_l4_research_oos_v0,onnxlab_wave02_td_cell_003_tradeability_side_abstain_v0,bundle_wave02_td_cell_003_l4_onnx_export_v0,wave02_td_cell_003,research_oos,momentum_ret_1,6,fallback_h6_recorded_for_tradeability_labels_without_explicit_horizon,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_td_cell_003_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_td_cell_003_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave02_td_cell_003_l4_research_oos_v0\score_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_003_l4_decision_replay_research_oos_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_003_l4_decision_replay_research_oos_momentum_ret_1_v0\trade_shape_telemetry.csv,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_uses_momentum_ret_1_side_otherwise_flat,0.41907030144888047,0.9304082688146893,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_td_cell_004_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_td_cell_004_l4_validation_v0,onnxlab_wave02_td_cell_004_tradeability_side_abstain_v0,bundle_wave02_td_cell_004_l4_onnx_export_v0,wave02_td_cell_004,validation,momentum_ret_1,6,fallback_h6_recorded_for_tradeability_labels_without_explicit_horizon,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_td_cell_004_l4_decision_replay_validation_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_td_cell_004_l4_decision_replay_validation_momentum_ret_1_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave02_td_cell_004_l4_validation_v0\score_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_004_l4_decision_replay_validation_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_004_l4_decision_replay_validation_momentum_ret_1_v0\trade_shape_telemetry.csv,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_uses_momentum_ret_1_side_otherwise_flat,0.45861343624329215,0.5513332472088733,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_td_cell_004_l4_decision_replay_research_oos_momentum_ret_1_v0,attempt_wave02_td_cell_004_l4_research_oos_v0,onnxlab_wave02_td_cell_004_tradeability_side_abstain_v0,bundle_wave02_td_cell_004_l4_onnx_export_v0,wave02_td_cell_004,research_oos,momentum_ret_1,6,fallback_h6_recorded_for_tradeability_labels_without_explicit_horizon,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_td_cell_004_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_td_cell_004_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave02_td_cell_004_l4_research_oos_v0\score_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_004_l4_decision_replay_research_oos_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_004_l4_decision_replay_research_oos_momentum_ret_1_v0\trade_shape_telemetry.csv,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_uses_momentum_ret_1_side_otherwise_flat,0.45861343624329215,0.5513332472088733,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_td_cell_005_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave02_td_cell_005_l4_validation_v0,onnxlab_wave02_td_cell_005_tradeability_side_abstain_v0,bundle_wave02_td_cell_005_l4_onnx_export_v0,wave02_td_cell_005,validation,momentum_ret_1,6,fallback_h6_recorded_for_tradeability_labels_without_explicit_horizon,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_td_cell_005_l4_decision_replay_validation_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_td_cell_005_l4_decision_replay_validation_momentum_ret_1_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave02_td_cell_005_l4_validation_v0\score_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_005_l4_decision_replay_validation_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_005_l4_decision_replay_validation_momentum_ret_1_v0\trade_shape_telemetry.csv,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_uses_momentum_ret_1_side_otherwise_flat,0.1199801373523124,0.669125349594689,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_td_cell_005_l4_decision_replay_research_oos_momentum_ret_1_v0,attempt_wave02_td_cell_005_l4_research_oos_v0,onnxlab_wave02_td_cell_005_tradeability_side_abstain_v0,bundle_wave02_td_cell_005_l4_onnx_export_v0,wave02_td_cell_005,research_oos,momentum_ret_1,6,fallback_h6_recorded_for_tradeability_labels_without_explicit_horizon,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_td_cell_005_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_td_cell_005_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_config.ini,SpaceSonar\l4_score_probe\attempt_wave02_td_cell_005_l4_research_oos_v0\score_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_005_l4_decision_replay_research_oos_momentum_ret_1_v0\execution_telemetry.csv,SpaceSonar\wave02_tradeability_l4_decision_replay\attempt_wave02_td_cell_005_l4_decision_replay_research_oos_momentum_ret_1_v0\trade_shape_telemetry.csv,abstain_capable_direction_agnostic_tradeability,direction_policy_required,score_ge_high_uses_momentum_ret_1_side_otherwise_flat,0.1199801373523124,0.669125349594689,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_decision_replay_adapter_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
