attempt_id,source_attempt_id,run_id,bundle_id,cell_id,period_role,direction_policy,from_date,to_date,status,result_judgment,source_score_telemetry_observed,execution_telemetry_observed,execution_row_count,open_action_count,close_action_count,open_failed_count,tester_report_observed,tester_log_observed,tester_final_balance,terminal_mode,terminal_exit_code,terminal_timed_out,terminal_run_summary_path,execution_telemetry_summary_path,tester_log_summary_path,repo_execution_telemetry_path,tester_report_path,claim_boundary,next_action
attempt_wave0_cell_008_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave0_cell_008_l4_validation_v0,onnxlab_wave0_cell_008_surface_scout_v0,bundle_wave0_cell_008_l4_onnx_export_v0,wave0_cell_008,validation,momentum_ret_1,2024.06.05,2025.03.10,completed_decision_replay_execution_telemetry_observed,runtime_probe,True,True,53554,7251,1939,0,False,True,280.87,main_mode_config_fallback,0,False,runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_validation_momentum_ret_1_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_validation_momentum_ret_1_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_validation_momentum_ret_1_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_validation_momentum_ret_1_v0/telemetry/execution_telemetry.csv,,score_replay_decision_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,continue/repair decision replay terminal execution before L5 or economics claim
attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0,attempt_wave0_cell_008_l4_research_oos_v0,onnxlab_wave0_cell_008_surface_scout_v0,bundle_wave0_cell_008_l4_onnx_export_v0,wave0_cell_008,research_oos,momentum_ret_1,2025.04.03,2025.11.21,completed_decision_replay_execution_telemetry_observed,runtime_probe,True,True,45281,5967,1692,0,False,True,389.87,main_mode_config_fallback,0,False,runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/telemetry/execution_telemetry.csv,,score_replay_decision_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,continue/repair decision replay terminal execution before L5 or economics claim
attempt_wave0_cell_011_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave0_cell_011_l4_validation_v0,onnxlab_wave0_cell_011_surface_scout_v0,bundle_wave0_cell_011_l4_onnx_export_v0,wave0_cell_011,validation,momentum_ret_1,2024.06.05,2025.03.10,completed_decision_replay_execution_telemetry_observed,runtime_probe,True,True,53554,7728,2152,0,False,True,254.71,main_mode_config_fallback,0,False,runtime/mt5_attempts/attempt_wave0_cell_011_l4_decision_replay_validation_momentum_ret_1_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave0_cell_011_l4_decision_replay_validation_momentum_ret_1_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave0_cell_011_l4_decision_replay_validation_momentum_ret_1_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave0_cell_011_l4_decision_replay_validation_momentum_ret_1_v0/telemetry/execution_telemetry.csv,,score_replay_decision_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,continue/repair decision replay terminal execution before L5 or economics claim
attempt_wave0_cell_011_l4_decision_replay_research_oos_momentum_ret_1_v0,attempt_wave0_cell_011_l4_research_oos_v0,onnxlab_wave0_cell_011_surface_scout_v0,bundle_wave0_cell_011_l4_onnx_export_v0,wave0_cell_011,research_oos,momentum_ret_1,2025.04.03,2025.11.21,completed_decision_replay_execution_telemetry_observed,runtime_probe,True,True,45281,6261,1981,0,False,True,386.96,main_mode_config_fallback,0,False,runtime/mt5_attempts/attempt_wave0_cell_011_l4_decision_replay_research_oos_momentum_ret_1_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave0_cell_011_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave0_cell_011_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave0_cell_011_l4_decision_replay_research_oos_momentum_ret_1_v0/telemetry/execution_telemetry.csv,,score_replay_decision_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,continue/repair decision replay terminal execution before L5 or economics claim
attempt_wave0_cell_012_l4_decision_replay_validation_momentum_ret_1_v0,attempt_wave0_cell_012_l4_validation_v0,onnxlab_wave0_cell_012_surface_scout_v0,bundle_wave0_cell_012_l4_onnx_export_v0,wave0_cell_012,validation,momentum_ret_1,2024.06.05,2025.03.10,completed_decision_replay_execution_telemetry_observed,runtime_probe,True,True,53554,6878,2084,0,False,True,274.42,main_mode_config_fallback,0,False,runtime/mt5_attempts/attempt_wave0_cell_012_l4_decision_replay_validation_momentum_ret_1_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave0_cell_012_l4_decision_replay_validation_momentum_ret_1_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave0_cell_012_l4_decision_replay_validation_momentum_ret_1_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave0_cell_012_l4_decision_replay_validation_momentum_ret_1_v0/telemetry/execution_telemetry.csv,,score_replay_decision_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,continue/repair decision replay terminal execution before L5 or economics claim
attempt_wave0_cell_012_l4_decision_replay_research_oos_momentum_ret_1_v0,attempt_wave0_cell_012_l4_research_oos_v0,onnxlab_wave0_cell_012_surface_scout_v0,bundle_wave0_cell_012_l4_onnx_export_v0,wave0_cell_012,research_oos,momentum_ret_1,2025.04.03,2025.11.21,completed_decision_replay_execution_telemetry_observed,runtime_probe,True,True,45281,5513,1879,0,False,True,408.93,main_mode_config_fallback,0,False,runtime/mt5_attempts/attempt_wave0_cell_012_l4_decision_replay_research_oos_momentum_ret_1_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave0_cell_012_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave0_cell_012_l4_decision_replay_research_oos_momentum_ret_1_v0/tester_log_summary.yaml,runtime/mt5_attempts/attempt_wave0_cell_012_l4_decision_replay_research_oos_momentum_ret_1_v0/telemetry/execution_telemetry.csv,,score_replay_decision_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,continue/repair decision replay terminal execution before L5 or economics claim
