run_id,attempt_id,period_role,side,model_row_key,decision,score
onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,attempt_wave03_mix2_cell_003_l4_validation_v0,validation,proxy_only,2025-03-10T03:10:00Z,long,0.6660035789043548
onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,attempt_wave03_mix2_cell_003_l4_validation_v0,validation,mt5_only,2024-06-05T00:00:00Z,long,0.7569311857
onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,attempt_wave03_mix2_cell_003_l4_validation_v0,validation,mt5_only,2024-06-05T01:05:00Z,long,0.7677763700
onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,attempt_wave03_mix2_cell_003_l4_validation_v0,validation,mt5_only,2024-06-05T01:10:00Z,long,0.7606374025
onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,attempt_wave03_mix2_cell_003_l4_validation_v0,validation,mt5_only,2024-06-05T01:15:00Z,long,0.7715373039
onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,attempt_wave03_mix2_cell_003_l4_validation_v0,validation,mt5_only,2024-06-05T01:20:00Z,long,0.7667548656
onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,attempt_wave03_mix2_cell_003_l4_research_oos_v0,research_oos,proxy_only,2025-11-21T01:05:00Z,long,0.6373907170495374
onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,attempt_wave03_mix2_cell_003_l4_research_oos_v0,research_oos,proxy_only,2025-11-21T01:25:00Z,long,0.7324791046850991
onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,attempt_wave03_mix2_cell_003_l4_research_oos_v0,research_oos,proxy_only,2025-11-21T04:15:00Z,long,0.6059278901745774
onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,attempt_wave03_mix2_cell_003_l4_research_oos_v0,research_oos,proxy_only,2025-11-21T05:05:00Z,long,0.6435652537069468
onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,attempt_wave03_mix2_cell_003_l4_research_oos_v0,research_oos,proxy_only,2025-11-21T05:40:00Z,flat,0.5480484112925547
onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,attempt_wave03_mix2_cell_003_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T00:00:00Z,short,0.3903554976
onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,attempt_wave03_mix2_cell_003_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T01:50:00Z,long,0.7815877795
onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,attempt_wave03_mix2_cell_003_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T02:00:00Z,long,0.7990089655
onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,attempt_wave03_mix2_cell_003_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T02:15:00Z,long,0.8340074420
onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,attempt_wave03_mix2_cell_003_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T02:20:00Z,long,0.8434179425
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_validation_v0,validation,proxy_only,2025-03-10T02:05:00Z,long,0.3222758572287298
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_validation_v0,validation,proxy_only,2025-03-10T02:10:00Z,long,0.3246896079911898
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_validation_v0,validation,proxy_only,2025-03-10T02:15:00Z,long,0.32168716404846787
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_validation_v0,validation,proxy_only,2025-03-10T03:05:00Z,flat,0.26294786654209246
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_validation_v0,validation,proxy_only,2025-03-10T03:10:00Z,flat,0.26900738589776924
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_validation_v0,validation,mt5_only,2024-06-05T00:00:00Z,long,0.4704519510
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_validation_v0,validation,mt5_only,2024-06-05T01:05:00Z,long,0.4553182721
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_validation_v0,validation,mt5_only,2024-06-05T01:10:00Z,long,0.4422183037
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_validation_v0,validation,mt5_only,2024-06-05T01:15:00Z,long,0.4640997052
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_validation_v0,validation,mt5_only,2024-06-05T01:20:00Z,long,0.4606071711
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_research_oos_v0,research_oos,proxy_only,2025-11-21T01:05:00Z,long,0.35450615504866145
