period_role,run_id,attempt_id,proxy_stream_path,mt5_telemetry_path,proxy_rows,mt5_rows,matched_rows,proxy_unmatched_rows,mt5_unmatched_rows,decision_mismatch_rows,decision_agreement_rate,max_score_abs_diff,comparison_status,claim_boundary
validation,onnxlab_wave03_vst_cell_015_low_vol_breakout_h6_v0,attempt_wave03_vst_cell_015_l5_validation_decision_execution_v0,lab/campaigns/campaign_us100_wave03_volatility_state_transition_surface_v0/parity/proxy_decision_stream_validation.csv,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l5_validation_decision_execution_v0/telemetry/score_telemetry.csv,21365,53554,21298,67,32256,4,0.9998121889379284,3.083042651175205e-07,common_key_alignment_with_threshold_edge_mismatches_and_coverage_gap,wave03_intent_behavior_parity_partial_common_key_alignment_no_runtime_authority_no_economics_pass_no_live_readiness_no_goal_achieve
research_oos,onnxlab_wave03_vst_cell_015_low_vol_breakout_h6_v0,attempt_wave03_vst_cell_015_l5_research_oos_decision_execution_v0,lab/campaigns/campaign_us100_wave03_volatility_state_transition_surface_v0/parity/proxy_decision_stream_research_oos.csv,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l5_research_oos_decision_execution_v0/telemetry/score_telemetry.csv,18034,45281,18034,0,27247,1,0.999944549184873,2.800843597050573e-07,common_key_alignment_with_threshold_edge_mismatches_and_coverage_gap,wave03_intent_behavior_parity_partial_common_key_alignment_no_runtime_authority_no_economics_pass_no_live_readiness_no_goal_achieve
