run_id,cell_id,bundle_id,bundle_path,onnx_path,feature_count,feature_order_hash,task_kind,model_family,status,claim_boundary,parity_status,max_abs_error,common_model_path,common_feature_columns_path,history_bars
onnxlab_wave03_mix2_cell_001_tradeability_gate_control_v0,wave03_mix2_cell_001,bundle_wave03_mix2_cell_001_l4_onnx_export_v0,runtime/packages/bundle_wave03_mix2_cell_001_l4_onnx_export_v0/experiment_bundle.json,runtime/packages/bundle_wave03_mix2_cell_001_l4_onnx_export_v0/artifacts/model.onnx,45,5c4a1f5c1cc93ab858e65d41108a36a44aa3a036327a6a9b9e3957e7be9dd692,classification,logistic_or_linear_rank_scout,wave03_bounded_synthesis_mix2_onnx_exported_python_onnxruntime_parity_recorded,wave03_bounded_synthesis_mix2_l4_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,passed,7.819065661607283e-08,SpaceSonar\wave03_bounded_synthesis_mix2_l4_score_probe\bundle_wave03_mix2_cell_001_l4_onnx_export_v0\model.onnx,SpaceSonar\wave03_bounded_synthesis_mix2_l4_score_probe\bundle_wave03_mix2_cell_001_l4_onnx_export_v0\feature_columns.txt,720
onnxlab_wave03_mix2_cell_002_tradeability_gate_longer_horizon_v0,wave03_mix2_cell_002,bundle_wave03_mix2_cell_002_l4_onnx_export_v0,runtime/packages/bundle_wave03_mix2_cell_002_l4_onnx_export_v0/experiment_bundle.json,runtime/packages/bundle_wave03_mix2_cell_002_l4_onnx_export_v0/artifacts/model.onnx,46,252243419e7810fc942e0a285b3990f40bed3626be26ef5b2538dae9c9877aa3,classification,tree_or_boosted_onnx_feasible_scout,wave03_bounded_synthesis_mix2_onnx_exported_python_onnxruntime_parity_recorded,wave03_bounded_synthesis_mix2_l4_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,passed,1.0748592405018798e-07,SpaceSonar\wave03_bounded_synthesis_mix2_l4_score_probe\bundle_wave03_mix2_cell_002_l4_onnx_export_v0\model.onnx,SpaceSonar\wave03_bounded_synthesis_mix2_l4_score_probe\bundle_wave03_mix2_cell_002_l4_onnx_export_v0\feature_columns.txt,720
onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,wave03_mix2_cell_003,bundle_wave03_mix2_cell_003_l4_onnx_export_v0,runtime/packages/bundle_wave03_mix2_cell_003_l4_onnx_export_v0/experiment_bundle.json,runtime/packages/bundle_wave03_mix2_cell_003_l4_onnx_export_v0/artifacts/model.onnx,46,74f79029dd274712d5669499e4cf1be6b3b1637056a0a5e0ea93622aff9cf2e0,classification,logistic_or_linear_rank_scout,wave03_bounded_synthesis_mix2_onnx_exported_python_onnxruntime_parity_recorded,wave03_bounded_synthesis_mix2_l4_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,passed,7.048314054625138e-08,SpaceSonar\wave03_bounded_synthesis_mix2_l4_score_probe\bundle_wave03_mix2_cell_003_l4_onnx_export_v0\model.onnx,SpaceSonar\wave03_bounded_synthesis_mix2_l4_score_probe\bundle_wave03_mix2_cell_003_l4_onnx_export_v0\feature_columns.txt,720
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,wave03_mix2_cell_004,bundle_wave03_mix2_cell_004_l4_onnx_export_v0,runtime/packages/bundle_wave03_mix2_cell_004_l4_onnx_export_v0/experiment_bundle.json,runtime/packages/bundle_wave03_mix2_cell_004_l4_onnx_export_v0/artifacts/model.onnx,39,4a70ec4011441aa9446369686728f2bfb5bf1ac959f0d9a7224afc2507e186bf,classification,tree_or_boosted_onnx_feasible_scout,wave03_bounded_synthesis_mix2_onnx_exported_python_onnxruntime_parity_recorded,wave03_bounded_synthesis_mix2_l4_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,passed,8.13341352601249e-08,SpaceSonar\wave03_bounded_synthesis_mix2_l4_score_probe\bundle_wave03_mix2_cell_004_l4_onnx_export_v0\model.onnx,SpaceSonar\wave03_bounded_synthesis_mix2_l4_score_probe\bundle_wave03_mix2_cell_004_l4_onnx_export_v0\feature_columns.txt,720
onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,wave03_mix2_cell_005,bundle_wave03_mix2_cell_005_l4_onnx_export_v0,runtime/packages/bundle_wave03_mix2_cell_005_l4_onnx_export_v0/experiment_bundle.json,runtime/packages/bundle_wave03_mix2_cell_005_l4_onnx_export_v0/artifacts/model.onnx,49,db4a9ac4468e0f24f3a350029d7f2b84dce481dee6ca038f751a724d15a14298,classification,logistic_or_linear_rank_scout,wave03_bounded_synthesis_mix2_onnx_exported_python_onnxruntime_parity_recorded,wave03_bounded_synthesis_mix2_l4_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,passed,4.300708267290787e-08,SpaceSonar\wave03_bounded_synthesis_mix2_l4_score_probe\bundle_wave03_mix2_cell_005_l4_onnx_export_v0\model.onnx,SpaceSonar\wave03_bounded_synthesis_mix2_l4_score_probe\bundle_wave03_mix2_cell_005_l4_onnx_export_v0\feature_columns.txt,720
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,wave03_mix2_cell_006,bundle_wave03_mix2_cell_006_l4_onnx_export_v0,runtime/packages/bundle_wave03_mix2_cell_006_l4_onnx_export_v0/experiment_bundle.json,runtime/packages/bundle_wave03_mix2_cell_006_l4_onnx_export_v0/artifacts/model.onnx,44,1f7322a3987028968ab5ad962db5ef12ea9e3b42b3e5b9afc7a6c3c8ce47a748,classification,tree_or_boosted_onnx_feasible_scout,wave03_bounded_synthesis_mix2_onnx_exported_python_onnxruntime_parity_recorded,wave03_bounded_synthesis_mix2_l4_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,passed,7.422443371041254e-08,SpaceSonar\wave03_bounded_synthesis_mix2_l4_score_probe\bundle_wave03_mix2_cell_006_l4_onnx_export_v0\model.onnx,SpaceSonar\wave03_bounded_synthesis_mix2_l4_score_probe\bundle_wave03_mix2_cell_006_l4_onnx_export_v0\feature_columns.txt,720
