mt5_date,prev_bar_mt5,next_bar_mt5,gap_seconds,missing_m5_bar_estimate
2018.09.06,2018.09.06 23:10:00,2018.09.06 23:30:00,1200,3
2018.09.10,2018.09.10 23:10:00,2018.09.10 23:30:00,1200,3
2018.09.11,2018.09.11 23:10:00,2018.09.11 23:30:00,1200,3
2018.09.12,2018.09.12 23:10:00,2018.09.12 23:30:00,1200,3
2018.09.13,2018.09.13 23:10:00,2018.09.13 23:30:00,1200,3
2018.09.14,2018.09.14 19:30:00,2018.09.14 21:35:00,7500,24
2018.09.17,2018.09.17 23:10:00,2018.09.17 23:30:00,1200,3
2018.09.18,2018.09.18 23:10:00,2018.09.18 23:30:00,1200,3
2018.09.19,2018.09.19 23:10:00,2018.09.19 23:30:00,1200,3
2018.09.20,2018.09.20 23:10:00,2018.09.20 23:30:00,1200,3
2018.09.24,2018.09.24 23:10:00,2018.09.24 23:30:00,1200,3
2018.09.25,2018.09.25 23:10:00,2018.09.25 23:30:00,1200,3
2018.09.26,2018.09.26 01:10:00,2018.09.26 01:45:00,2100,6
2018.09.26,2018.09.26 23:10:00,2018.09.26 23:30:00,1200,3
2018.09.27,2018.09.27 23:10:00,2018.09.27 23:30:00,1200,3
2018.10.01,2018.10.01 23:10:00,2018.10.01 23:30:00,1200,3
2018.10.02,2018.10.02 23:10:00,2018.10.02 23:30:00,1200,3
2018.10.03,2018.10.03 23:10:00,2018.10.03 23:30:00,1200,3
2018.10.04,2018.10.04 23:10:00,2018.10.04 23:30:00,1200,3
2018.10.08,2018.10.08 23:10:00,2018.10.08 23:30:00,1200,3
2018.10.09,2018.10.09 23:10:00,2018.10.09 23:30:00,1200,3
2018.10.10,2018.10.10 23:10:00,2018.10.10 23:30:00,1200,3
2018.10.11,2018.10.11 23:10:00,2018.10.11 23:30:00,1200,3
2018.10.15,2018.10.15 23:10:00,2018.10.15 23:30:00,1200,3
2018.10.16,2018.10.16 10:30:00,2018.10.16 10:40:00,600,1
2018.10.16,2018.10.16 23:10:00,2018.10.16 23:30:00,1200,3
2018.10.17,2018.10.17 23:10:00,2018.10.17 23:30:00,1200,3
2018.10.18,2018.10.18 23:10:00,2018.10.18 23:30:00,1200,3
2018.10.22,2018.10.22 23:10:00,2018.10.22 23:30:00,1200,3
2018.10.23,2018.10.23 23:10:00,2018.10.23 23:30:00,1200,3
2018.10.24,2018.10.24 23:10:00,2018.10.24 23:30:00,1200,3
2018.10.25,2018.10.25 23:10:00,2018.10.25 23:30:00,1200,3
2018.10.29,2018.10.29 23:10:00,2018.10.29 23:30:00,1200,3
2018.10.30,2018.10.30 23:10:00,2018.10.30 23:30:00,1200,3
2018.10.31,2018.10.31 23:10:00,2018.10.31 23:30:00,1200,3
2018.11.01,2018.11.01 23:10:00,2018.11.01 23:30:00,1200,3
2018.11.05,2018.11.05 23:10:00,2018.11.05 23:30:00,1200,3
2018.11.06,2018.11.06 23:10:00,2018.11.06 23:30:00,1200,3
2018.11.07,2018.11.07 23:10:00,2018.11.07 23:30:00,1200,3
2018.11.08,2018.11.08 23:10:00,2018.11.08 23:30:00,1200,3
2018.11.12,2018.11.12 23:10:00,2018.11.12 23:30:00,1200,3
2018.11.13,2018.11.13 23:10:00,2018.11.13 23:30:00,1200,3
2018.11.14,2018.11.14 23:10:00,2018.11.14 23:30:00,1200,3
2018.11.15,2018.11.15 23:10:00,2018.11.15 23:30:00,1200,3
2018.11.19,2018.11.19 23:10:00,2018.11.19 23:30:00,1200,3
2018.11.20,2018.11.20 23:10:00,2018.11.20 23:30:00,1200,3
2018.11.21,2018.11.21 23:10:00,2018.11.21 23:30:00,1200,3
2018.11.26,2018.11.26 23:10:00,2018.11.26 23:30:00,1200,3
2018.11.27,2018.11.27 23:10:00,2018.11.27 23:30:00,1200,3
2018.11.28,2018.11.28 23:10:00,2018.11.28 23:30:00,1200,3
2018.11.29,2018.11.29 23:10:00,2018.11.29 23:30:00,1200,3
2018.12.03,2018.12.03 23:10:00,2018.12.03 23:30:00,1200,3
2018.12.04,2018.12.04 23:10:00,2018.12.04 23:30:00,1200,3
2018.12.06,2018.12.06 23:10:00,2018.12.06 23:30:00,1200,3
2018.12.10,2018.12.10 23:10:00,2018.12.10 23:30:00,1200,3
2018.12.11,2018.12.11 23:10:00,2018.12.11 23:30:00,1200,3
2018.12.12,2018.12.12 23:10:00,2018.12.12 23:30:00,1200,3
2018.12.13,2018.12.13 23:10:00,2018.12.13 23:30:00,1200,3
2018.12.17,2018.12.17 23:10:00,2018.12.17 23:30:00,1200,3
2018.12.18,2018.12.18 23:10:00,2018.12.18 23:30:00,1200,3
2018.12.19,2018.12.19 23:10:00,2018.12.19 23:30:00,1200,3
2018.12.20,2018.12.20 23:10:00,2018.12.20 23:30:00,1200,3
2018.12.26,2018.12.26 22:45:00,2018.12.26 23:00:00,900,2
2018.12.26,2018.12.26 23:10:00,2018.12.26 23:30:00,1200,3
2018.12.27,2018.12.27 23:10:00,2018.12.27 23:30:00,1200,3
2018.12.31,2018.12.31 23:10:00,2018.12.31 23:30:00,1200,3
2019.01.02,2019.01.02 23:10:00,2019.01.02 23:30:00,1200,3
2019.01.03,2019.01.03 23:10:00,2019.01.03 23:30:00,1200,3
2019.01.07,2019.01.07 23:10:00,2019.01.07 23:30:00,1200,3
2019.01.08,2019.01.08 23:10:00,2019.01.08 23:30:00,1200,3
2019.01.09,2019.01.09 23:10:00,2019.01.09 23:30:00,1200,3
2019.01.10,2019.01.10 23:10:00,2019.01.10 23:30:00,1200,3
2019.01.14,2019.01.14 23:10:00,2019.01.14 23:30:00,1200,3
2019.01.15,2019.01.15 23:10:00,2019.01.15 23:30:00,1200,3
2019.01.16,2019.01.16 23:10:00,2019.01.16 23:30:00,1200,3
2019.01.17,2019.01.17 23:10:00,2019.01.17 23:30:00,1200,3
2019.01.22,2019.01.22 23:10:00,2019.01.22 23:30:00,1200,3
2019.01.23,2019.01.23 23:10:00,2019.01.23 23:30:00,1200,3
2019.01.24,2019.01.24 23:10:00,2019.01.24 23:30:00,1200,3
